,Layer,Migraine nodes,Temporal_lobe_epilepsy nodes,sAB
0,coex_KDN,27,31,-0.14143286779549302
1,coex_BST,21,20,-0.2060053981106611
2,coex_OVR,21,19,0.08671679197994964
3,coex_LNG,23,21,0.09001505740636206
4,coex_ITI,22,29,0.060324675324675336
5,coex_VGN,23,25,-0.06054347826086959
6,coex_HRV,13,14,-0.12148962148962106
7,coex_MSG,24,24,0.08333333333333326
8,coex_ADV,18,15,0.3353535353535353
9,coex_EMS,20,22,0.4720779220779221
10,coex_SMU,18,18,-0.11111111111111072
11,coex_ARG,19,23,0.2002525252525249
12,coex_TST,24,31,-0.10370234604105577
13,coex_PIT,24,34,-0.006338742393509289
14,coex_LVR,25,21,-0.05664596273291944
15,coex_THY,19,21,-0.17739541160593797
16,coex_PNC,18,25,0.17147286821705432
17,coex_ATC,23,25,-0.1703091273512185
18,coex_BRO,24,37,0.048201890415005
19,coex_SKN,21,22,-0.10121951219512182
20,coex_ADS,19,21,-0.0006410256410256387
21,coex_GEJ,18,22,0.02408963585434165
22,coex_BRB,19,27,0.009259259259259522
23,coex_UTR,18,15,-0.24558823529411766
24,coex_STM,25,29,0.013614303959131657
25,coex_HRA,16,19,-0.10079887218045158
26,coex_PRS,17,19,-0.012727898176814634
27,coex_ATA,20,24,-0.14090909090909065
28,coex_FIB,14,14,-0.21428571428571397
29,coex_BRC,21,33,0.10672169811320753
30,coex_ATT,21,22,0.0019128158663042072
31,coex_TNV,12,23,0.16711229946524053
32,coex_SPL,20,18,-0.04795321637426886
33,coex_LCL,7,12,-0.12599206349206327
34,coex_CLS,24,24,0.04166666666666652
35,coex_EMC,24,19,-0.09978070175438614
36,coex_CLT,25,27,-0.014842047930283098
37,coex_core,24,29,0.24928571428571433
38,coex_WBL,18,15,0.08681214421252381
39,co-essential,7,6,1.147619047619047
40,GOBP,20,18,0.9334336007130126
41,ppi,42,49,0.15096807953950808
42,reactome_copathway,25,21,-0.10745614035087714
43,MP,12,13,1.053896103896104
44,HP,37,24,0.1611111111111112
45,GI_net,19,17,0.0725081699346406
46,gene_gene_on_CbG_name_mapped,9,25,0.19045751633986918
47,gene_gene_on_GcG_name_mapped,25,31,-0.05191244239631332
48,GOMF,7,3,
