,Layer,Head_and_neck_neoplasm nodes,Colonic_neoplasm nodes,sAB
0,coex_KDN,41,33,-0.4502207307085355
1,coex_BST,30,20,-0.5266666666666664
2,coex_OVR,36,17,-0.5201936120360089
3,coex_LNG,37,28,-0.2837681431431429
4,coex_ITI,38,28,-0.2683128275233537
5,coex_VGN,38,23,-0.6636061822410622
6,coex_HRV,20,15,-0.5392857142857141
7,coex_MSG,41,28,-0.3331187193859517
8,coex_ADV,24,18,-0.5168650793650791
9,coex_EMS,31,22,0.3202567365683615
10,coex_SMU,28,17,-0.3201827242524917
11,coex_ARG,30,19,-0.2276782381485627
12,coex_TST,37,24,-0.4193158322256685
13,coex_PIT,31,25,-0.24448080619188617
14,coex_LVR,36,26,-0.48045905707196024
15,coex_THY,36,20,-0.7809523809523808
16,coex_PNC,34,21,-0.5640183346065699
17,coex_ATC,34,26,-0.5117032392894463
18,coex_BRO,34,21,-0.40777947542653403
19,coex_SKN,37,23,-0.4398942420681551
20,coex_ADS,26,17,-1.0993837535014004
21,coex_GEJ,35,24,-0.28385563711650663
22,coex_BRB,29,16,-0.29301948051948035
23,coex_UTR,26,16,-0.18120421245421214
24,coex_STM,39,27,-0.46037296037296027
25,coex_HRA,31,19,-0.52
26,coex_PRS,30,20,-0.3612602935911209
27,coex_ATA,31,20,-0.9087393021724817
28,coex_FIB,31,20,-0.30666666666666664
29,coex_BRC,32,20,-0.5062500000000001
30,coex_ATT,34,18,-0.5013721397649968
31,coex_TNV,19,15,-1.4266738953645972
32,coex_SPL,36,22,-0.2572274468826192
33,coex_LCL,24,16,-0.6228070175438598
34,coex_CLS,36,32,-0.5263480392156865
35,coex_EMC,37,25,-0.23958077458445937
36,coex_CLT,38,26,-0.2111769834350481
37,coex_core,37,24,-0.6682633259641366
38,coex_WBL,34,28,-0.5483193277310923
39,co-essential,17,13,-1.0668526031102095
40,GOBP,11,9,-0.017156862745097978
41,ppi,49,50,-0.11002679859822728
42,reactome_copathway,34,28,-0.1604341985697917
43,MP,9,17,0.34208683473389323
44,HP,33,21,-0.14160839160839167
45,GI_net,33,26,-0.33604111405835546
46,gene_gene_on_CbG_name_mapped,21,22,-0.18667572737340188
47,gene_gene_on_GcG_name_mapped,28,30,-0.2251231527093598
48,GOMF,4,3,
