,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Temporal_lobe_epilepsy nodes,sAB
0,coex_KDN,32,31,-0.39482526881720426
1,coex_BST,24,20,-0.42148634984833167
2,coex_OVR,16,19,-0.03233082706766943
3,coex_LNG,25,21,-0.15792960662525868
4,coex_ITI,30,29,-0.014983579638752076
5,coex_VGN,30,25,-0.19333333333333336
6,coex_HRV,15,14,0.138752052545156
7,coex_MSG,25,24,-0.02323129251700684
8,coex_ADV,22,15,-0.45143325143325175
9,coex_EMS,22,22,-0.2954545454545452
10,coex_SMU,21,18,-0.22100122100122066
11,coex_ARG,26,23,-0.12485431235431221
12,coex_TST,31,31,-0.32258064516129026
13,coex_PIT,33,34,-0.3416274243754489
14,coex_LVR,21,21,-0.33333333333333304
15,coex_THY,23,21,-0.4894337714863499
16,coex_PNC,30,25,-0.2161685823754791
17,coex_ATC,25,25,-0.24661564625850318
18,coex_BRO,42,37,-0.30374452209895275
19,coex_SKN,22,22,-0.33549280177187146
20,coex_ADS,19,21,-0.7103801169590644
21,coex_GEJ,23,22,-0.3405797101449277
22,coex_BRB,34,27,-0.33111896853459055
23,coex_UTR,17,15,-0.2069852941176471
24,coex_STM,28,29,-0.15784072249589487
25,coex_HRA,24,19,-0.20797633618931077
26,coex_PRS,20,19,-0.2377530364372471
27,coex_ATA,20,24,-0.4784271725826197
28,coex_FIB,17,14,-0.24308755760368683
29,coex_BRC,36,33,-0.325030193236715
30,coex_ATT,22,22,-0.34090909090909083
31,coex_TNV,22,23,-0.290909090909091
32,coex_SPL,21,18,-0.08730158730158744
33,coex_LCL,12,12,-0.04563492063492047
34,coex_CLS,30,24,-0.32361111111111107
35,coex_EMC,22,19,-0.32617574979577557
36,coex_CLT,25,27,-0.3095441595441597
37,coex_core,28,29,-0.16534391534391513
38,coex_WBL,14,15,-0.17857142857142838
39,co-essential,7,6,-0.638095238095238
40,GOBP,27,18,0.11564442850310863
41,ppi,49,49,-0.12244897959183665
42,reactome_copathway,19,21,-0.5451149425287354
43,MP,11,13,-0.5650375939849619
44,HP,37,24,-0.302540245163196
45,GI_net,18,17,-0.3572303921568625
46,gene_gene_on_CbG_name_mapped,20,25,-0.0922222222222222
47,gene_gene_on_GcG_name_mapped,31,31,-0.435483870967742
48,GOMF,6,3,
