,Layer,Eczematoid_dermatitis nodes,Exanthem nodes,sAB
0,coex_KDN,43,41,-0.1931489022291255
1,coex_BST,19,26,-0.2537799043062203
2,coex_OVR,32,36,-0.1980744949494948
3,coex_LNG,33,38,-0.3663937372239816
4,coex_ITI,30,41,-0.1363105462040537
5,coex_VGN,36,34,-0.2118440057775639
6,coex_HRV,13,26,-0.10008097165991892
7,coex_MSG,35,39,-0.017675985041013087
8,coex_ADV,21,31,-0.0983333333333336
9,coex_EMS,27,29,-0.37205801860974286
10,coex_SMU,25,26,-0.3598273155416014
11,coex_ARG,25,28,-0.11777821496491558
12,coex_TST,31,31,0.016129032258064724
13,coex_PIT,26,30,-0.16043956043956054
14,coex_LVR,26,33,-0.1323358753315651
15,coex_THY,28,34,-0.16491596638655448
16,coex_PNC,23,28,-0.23871940080380005
17,coex_ATC,28,37,-0.22027769527769525
18,coex_BRO,24,31,-0.17693059628543484
19,coex_SKN,34,32,-0.19738747771836018
20,coex_ADS,27,36,-0.16272401433691774
21,coex_GEJ,31,36,-0.36648351648351607
22,coex_BRB,18,26,-0.11675824175824179
23,coex_UTR,18,21,-0.25482625482625476
24,coex_STM,26,38,-0.1206983805668016
25,coex_HRA,19,25,-0.08205834353325181
26,coex_PRS,28,26,-0.47720797720797714
27,coex_ATA,26,31,-0.37938052326846883
28,coex_FIB,18,21,-0.0680995475113122
29,coex_BRC,18,24,-0.09523809523809534
30,coex_ATT,27,31,-0.11222846197379255
31,coex_TNV,16,20,-0.08055555555555527
32,coex_SPL,33,39,-0.17540792540792527
33,coex_LCL,17,22,-0.01704014939309051
34,coex_CLS,26,37,-0.36235180590019334
35,coex_EMC,35,35,-0.16149068322981375
36,coex_CLT,32,37,-0.4032677000418936
37,coex_core,39,45,-0.26861265034832793
38,coex_WBL,33,37,-0.012764712764712804
39,co-essential,7,6,-1.4532967032967035
40,GOBP,22,19,0.3642213642213643
41,ppi,50,50,0.020000000000000018
42,reactome_copathway,22,19,0.2782163742690058
43,MP,14,11,0.6019813519813519
44,HP,44,49,0.052042811259401134
45,GI_net,19,19,-0.19439775910364143
46,gene_gene_on_CbG_name_mapped,7,13,-0.25164835164835164
47,gene_gene_on_GcG_name_mapped,33,25,-0.04208986415882965
48,GOMF,6,8,
