,Layer,Extrapyramidal_disease nodes,Bronchiolitis nodes,sAB
0,coex_KDN,42,35,0.08701298701298699
1,coex_BST,34,20,-0.1488624787775894
2,coex_OVR,33,27,0.11815364092906444
3,coex_LNG,36,35,0.36378029472658646
4,coex_ITI,38,32,0.16928102162840464
5,coex_VGN,39,26,0.07179487179487198
6,coex_HRV,19,19,0.3977793583056739
7,coex_MSG,38,28,0.08487126908179543
8,coex_ADV,31,21,0.019802955665024324
9,coex_EMS,31,24,0.06274998701366163
10,coex_SMU,29,24,0.11944263717198034
11,coex_ARG,35,24,0.10843475321162943
12,coex_TST,37,30,0.07900363049616788
13,coex_PIT,38,31,0.04959277576831278
14,coex_LVR,30,27,0.06764132553606217
15,coex_THY,28,28,0.19511784511784525
16,coex_PNC,35,22,0.26190476190476186
17,coex_ATC,34,28,0.2380710025358046
18,coex_BRO,38,30,0.4788308909174632
19,coex_SKN,34,27,0.06932390442515812
20,coex_ADS,23,23,-0.061594202898550776
21,coex_GEJ,31,24,0.15088806506944064
22,coex_BRB,28,23,0.36483091787439603
23,coex_UTR,28,17,-0.05438311688311659
24,coex_STM,32,25,0.20982142857142838
25,coex_HRA,31,24,-0.047222222222222054
26,coex_PRS,30,23,0.253379953379953
27,coex_ATA,29,24,0.014194139194139144
28,coex_FIB,30,18,0.08488402857394828
29,coex_BRC,35,22,-0.13688767372977884
30,coex_ATT,31,24,0.16714107568857095
31,coex_TNV,21,16,-0.005366357069143124
32,coex_SPL,33,31,0.32673509286412505
33,coex_LCL,24,21,0.109984833164813
34,coex_CLS,35,25,0.02190476190476165
35,coex_EMC,34,29,0.30731832963070316
36,coex_CLT,37,25,0.10640045783488405
37,coex_core,38,34,0.1768774703557312
38,coex_WBL,29,35,0.01836021765027862
39,co-essential,10,6,-0.022222222222222143
40,GOBP,19,18,0.9318181818181817
41,ppi,49,49,0.1734693877551019
42,reactome_copathway,13,26,0.5533333333333332
43,MP,18,14,2.5868945868945867
44,HP,41,27,0.9462245602848185
45,GI_net,16,21,0.1812499999999999
46,gene_gene_on_CbG_name_mapped,17,15,0.021691176470588047
47,gene_gene_on_GcG_name_mapped,37,34,-0.028907946886405966
48,GOMF,7,2,
