,Layer,Prostate_neoplasm nodes,Breast_neoplasm nodes,sAB
0,coex_KDN,26,26,-0.3846153846153846
1,coex_BST,17,24,-0.2733142037302725
2,coex_OVR,20,20,-0.25
3,coex_LNG,26,24,-0.23051282051282018
4,coex_ITI,26,26,-0.42307692307692313
5,coex_VGN,22,25,-0.3244294003868471
6,coex_HRV,12,9,-0.02777777777777768
7,coex_MSG,26,25,-0.12022624434389151
8,coex_ADV,18,15,0.005555555555555092
9,coex_EMS,20,21,-0.43861788617886166
10,coex_SMU,19,18,-0.2516447368421053
11,coex_ARG,18,17,-0.5135360962566844
12,coex_TST,28,24,-0.3479853479853481
13,coex_PIT,20,18,-0.18685791054212086
14,coex_LVR,24,21,-0.14702380952380945
15,coex_THY,22,21,-0.5624182019530855
16,coex_PNC,17,18,-0.04934640522875844
17,coex_ATC,22,22,-0.4603594080338267
18,coex_BRO,19,18,-0.22222222222222232
19,coex_SKN,20,22,-0.15525551684088268
20,coex_ADS,23,20,-0.41377654196157687
21,coex_GEJ,20,20,-0.5818713450292397
22,coex_BRB,13,12,-0.21649184149184175
23,coex_UTR,14,19,-0.3455212550607287
24,coex_STM,25,24,-0.45192176870748324
25,coex_HRA,19,18,-0.13161846056582904
26,coex_PRS,24,22,-0.32152268021833263
27,coex_ATA,21,18,-0.28552631578947407
28,coex_FIB,18,21,-0.24760430487984686
29,coex_BRC,19,18,-0.02283862810178583
30,coex_ATT,19,19,0.15522875816993453
31,coex_TNV,12,12,-0.7695981554677203
32,coex_SPL,21,23,-0.34180312441182004
33,coex_LCL,17,19,-0.28493292053663555
34,coex_CLS,25,21,-0.10761904761904795
35,coex_EMC,22,23,0.02037768994290734
36,coex_CLT,26,26,-0.26
37,coex_core,26,26,-0.270879120879121
38,coex_WBL,23,17,-0.27722439090052475
39,co-essential,13,17,-0.2534722222222223
40,GOBP,12,3,2.658333333333333
41,ppi,50,46,-0.08300724637681145
42,reactome_copathway,27,31,-0.14444700460829485
43,MP,4,7,0.8425324675324672
44,HP,24,22,0.04397233201581008
45,GI_net,23,29,-0.20156268019836232
46,gene_gene_on_CbG_name_mapped,18,16,-0.24121732026143794
47,gene_gene_on_GcG_name_mapped,25,26,-0.2917647058823529
48,GOMF,4,1,
