,Layer,Periodontitis nodes,Pneumonia nodes,sAB
0,coex_KDN,37,26,-0.12696443341604624
1,coex_BST,22,11,-0.054501915708812465
2,coex_OVR,30,15,-0.02777777777777768
3,coex_LNG,30,22,-0.3384848484848484
4,coex_ITI,33,24,-0.12320574162679421
5,coex_VGN,29,11,0.17399267399267404
6,coex_HRV,20,14,-0.025874125874126186
7,coex_MSG,33,18,-0.13383838383838387
8,coex_ADV,29,18,-0.15691856452725972
9,coex_EMS,25,13,-0.29934210526315796
10,coex_SMU,24,10,-0.18386034255599482
11,coex_ARG,26,9,0.19255189255189276
12,coex_TST,29,17,-0.12862686303906878
13,coex_PIT,29,18,-0.1251732289883427
14,coex_LVR,32,16,-0.03952899794097475
15,coex_THY,23,20,-0.19314750290360072
16,coex_PNC,30,13,0.13881932021466903
17,coex_ATC,29,14,-0.1106942375988087
18,coex_BRO,26,19,-0.06763382816014385
19,coex_SKN,27,12,0.24821937321937337
20,coex_ADS,25,11,-0.12010101010100982
21,coex_GEJ,28,14,-0.5642857142857145
22,coex_BRB,21,16,-0.41883848133848134
23,coex_UTR,23,8,0.13571428571428568
24,coex_STM,33,16,-0.055020871985157704
25,coex_HRA,27,11,-0.3180400680400681
26,coex_PRS,28,16,-0.2780420798713483
27,coex_ATA,21,12,-0.1499999999999999
28,coex_FIB,22,12,0.23106060606060597
29,coex_BRC,26,12,-0.006747638326585648
30,coex_ATT,25,10,0.059288537549407216
31,coex_TNV,17,13,-0.7906167108753315
32,coex_SPL,33,22,0.22352773013150373
33,coex_LCL,17,10,0.13611111111111107
34,coex_CLS,25,13,-0.14691614691614685
35,coex_EMC,28,16,-0.16904761904761934
36,coex_CLT,24,21,-0.01777335781313738
37,coex_core,32,21,-0.08814940577249586
38,coex_WBL,32,24,0.24768518518518512
39,co-essential,15,5,0.276754385964912
40,GOBP,17,15,1.1641836424445122
41,ppi,49,50,0.1101546072974644
42,reactome_copathway,28,23,0.1124401913875599
43,MP,11,13,-0.27272727272727293
44,HP,29,22,0.18066568320117993
45,GI_net,22,21,-0.4726190476190475
46,gene_gene_on_CbG_name_mapped,17,10,-0.3871459694989108
47,gene_gene_on_GcG_name_mapped,31,31,-0.3225806451612905
48,GOMF,1,4,
