,Layer,Seasonal_allergy nodes,Cough nodes,sAB
0,coex_KDN,30,37,-0.011294876966518652
1,coex_BST,23,24,0.20856460067838434
2,coex_OVR,23,24,-0.2173913043478264
3,coex_LNG,23,36,-0.005238828967642384
4,coex_ITI,24,31,-0.07674731182795691
5,coex_VGN,24,26,-0.08287414965986373
6,coex_HRV,23,12,-0.25320855614973237
7,coex_MSG,31,29,0.10194660734149075
8,coex_ADV,19,25,-0.48542298618132795
9,coex_EMS,19,25,-0.0471317829457365
10,coex_SMU,17,21,0.022321428571428603
11,coex_ARG,16,22,-0.03353808353808363
12,coex_TST,25,33,-0.16173458725182877
13,coex_PIT,23,33,0.21313288161114263
14,coex_LVR,25,25,0.10741496598639433
15,coex_THY,18,26,0.31935400516795864
16,coex_PNC,17,26,-0.035370879120879106
17,coex_ATC,24,30,-0.13101851851851842
18,coex_BRO,23,31,-0.388940834242377
19,coex_SKN,26,25,-0.24408163265306126
20,coex_ADS,25,18,-0.08423772609819125
21,coex_GEJ,23,26,0.09315280464216658
22,coex_BRB,16,22,0.23295454545454541
23,coex_UTR,14,19,0.029277739804055347
24,coex_STM,24,30,-0.10231481481481497
25,coex_HRA,19,21,0.1606516290726816
26,coex_PRS,21,28,0.0025510204081635734
27,coex_ATA,22,23,-0.01600790513833994
28,coex_FIB,11,23,-0.25546772068511214
29,coex_BRC,21,21,0.14796747967479673
30,coex_ATT,20,24,-0.08755584613708178
31,coex_TNV,24,12,-0.14583333333333304
32,coex_SPL,25,32,-0.31052631578947376
33,coex_LCL,14,22,0.019392372333548735
34,coex_CLS,21,31,0.01540616246498594
35,coex_EMC,25,27,-0.13977207977207984
36,coex_CLT,22,32,-0.008943602693602726
37,coex_core,28,37,-0.05649801587301573
38,coex_WBL,24,34,0.016650765526327715
39,co-essential,5,7,-0.638095238095238
40,GOBP,16,25,1.8427164622816794
41,ppi,50,46,-0.09630434782608699
42,reactome_copathway,15,14,0.36318681318681323
43,MP,12,13,-0.8547435897435895
44,HP,20,41,0.19741103558576567
45,GI_net,19,16,0.14074248120300714
46,gene_gene_on_CbG_name_mapped,13,8,-0.14972527472527486
47,gene_gene_on_GcG_name_mapped,34,26,-0.13589743589743586
48,GOMF,7,6,
