,Layer,Cervical_cancer nodes,Osteosarcoma nodes,sAB
0,coex_KDN,38,42,-0.3018832575794601
1,coex_BST,32,35,-0.23472814498933903
2,coex_OVR,29,32,-0.34821050028264566
3,coex_LNG,35,37,-0.1965358215358215
4,coex_ITI,31,40,-0.11328941390277136
5,coex_VGN,37,37,-0.3272604796577401
6,coex_HRV,16,16,-0.40625
7,coex_MSG,34,38,-0.0962762297901616
8,coex_ADV,20,23,-0.246511627906977
9,coex_EMS,28,35,-0.13690476190476208
10,coex_SMU,27,31,-0.4086639475960945
11,coex_ARG,26,34,-0.2817496229260936
12,coex_TST,33,41,-0.4239527776113141
13,coex_PIT,36,37,-0.026769920605536957
14,coex_LVR,33,38,-0.27038547071905117
15,coex_THY,32,34,-0.5795733065953654
16,coex_PNC,29,34,-0.25800895070671936
17,coex_ATC,30,36,-0.49088669950738906
18,coex_BRO,28,34,-0.2004608294930874
19,coex_SKN,35,37,-0.5194444444444446
20,coex_ADS,26,31,-0.7627443298071483
21,coex_GEJ,29,35,-0.39664502164502147
22,coex_BRB,20,24,-0.6254813863928115
23,coex_UTR,23,31,-0.15816411221158622
24,coex_STM,32,40,-0.18541666666666679
25,coex_HRA,29,32,-0.22548034774985348
26,coex_PRS,33,38,-0.3733742165914147
27,coex_ATA,24,30,-0.346759259259259
28,coex_FIB,30,37,-0.1899905123339658
29,coex_BRC,30,36,-0.1851010101010102
30,coex_ATT,26,36,-0.2514474772539286
31,coex_TNV,19,21,-0.5456140350877194
32,coex_SPL,30,33,-0.20974025974025956
33,coex_LCL,23,31,-0.22925415508369285
34,coex_CLS,30,36,-0.44393939393939386
35,coex_EMC,29,33,-0.3719927613370235
36,coex_CLT,31,38,-0.08544849197023119
37,coex_core,34,40,-0.33588625985886256
38,coex_WBL,26,36,-0.36273090708574607
39,co-essential,17,16,-1.09375
40,GOBP,8,9,-0.625
41,ppi,50,50,-0.07000000000000006
42,reactome_copathway,33,29,-0.22032493368700257
43,MP,7,10,0.32222222222222197
44,HP,33,28,-0.05308352849336462
45,GI_net,31,28,-0.07229767968307876
46,gene_gene_on_CbG_name_mapped,20,17,-0.34670111287758354
47,gene_gene_on_GcG_name_mapped,30,30,-0.25
48,GOMF,7,5,
