,Layer,Atonic_seizure nodes,Focal_aware_seizure nodes,sAB
0,coex_KDN,35,37,-0.611089661089661
1,coex_BST,22,24,-0.34424603174603163
2,coex_OVR,20,21,0.0
3,coex_LNG,23,25,-0.4196014492753626
4,coex_ITI,29,35,-0.3008004926108374
5,coex_VGN,27,33,-0.30151515151515174
6,coex_HRV,16,16,-0.40625
7,coex_MSG,28,32,-0.1511904761904761
8,coex_ADV,20,20,0.125
9,coex_EMS,21,25,-0.5433954451345757
10,coex_SMU,21,20,-0.38620789779326326
11,coex_ARG,22,25,-0.39589941972920717
12,coex_TST,34,32,-0.43588458110516926
13,coex_PIT,33,35,-0.4028393175452001
14,coex_LVR,26,24,-0.23570512820512812
15,coex_THY,22,27,-0.46751165501165515
16,coex_PNC,24,23,-0.658899938328708
17,coex_ATC,29,29,-0.4999999999999998
18,coex_BRO,39,41,-0.5230090508766512
19,coex_SKN,25,31,-0.4184523809523808
20,coex_ADS,22,24,-0.6019668737060044
21,coex_GEJ,24,26,-0.5278209109730849
22,coex_BRB,26,34,-0.2178733031674207
23,coex_UTR,16,17,-0.5989304812834224
24,coex_STM,27,29,-0.1304050355774493
25,coex_HRA,26,22,-0.31717601547388785
26,coex_PRS,21,24,-0.3908730158730158
27,coex_ATA,24,27,-0.8199269674424956
28,coex_FIB,19,17,-0.27542293233082704
29,coex_BRC,36,37,-0.4340726244835835
30,coex_ATT,23,26,-0.38108317214700227
31,coex_TNV,22,23,-0.5225881829309005
32,coex_SPL,25,24,-0.3861054421768706
33,coex_LCL,15,9,0.18944099378881996
34,coex_CLS,28,35,-0.3226580796252927
35,coex_EMC,24,26,-0.4373076923076926
36,coex_CLT,31,37,-0.25368428129622145
37,coex_core,26,32,-0.028862478777589295
38,coex_WBL,19,15,-0.5687306501547988
39,co-essential,8,9,-1.375
40,GOBP,17,23,-0.5598176333470453
41,ppi,50,49,-0.3839125953411666
42,reactome_copathway,23,17,-0.40436128684883554
43,MP,8,10,-1.8823529411764706
44,HP,35,35,-0.41428571428571437
45,GI_net,19,12,-0.28480475382003423
46,gene_gene_on_CbG_name_mapped,29,18,-0.29740360316295755
47,gene_gene_on_GcG_name_mapped,30,29,-0.3372102084550943
48,GOMF,0,3,
