,Layer,Cellulitis nodes,Stomatitis nodes,sAB
0,coex_KDN,42,43,-0.11553970425379445
1,coex_BST,22,27,-0.25132275132275117
2,coex_OVR,36,27,-0.017272572111281637
3,coex_LNG,37,37,0.010167310167310095
4,coex_ITI,41,41,0.1875338753387532
5,coex_VGN,40,31,0.07035330261136696
6,coex_HRV,28,20,-0.40890269151138714
7,coex_MSG,43,36,-0.058303077879174436
8,coex_ADV,33,29,-0.16511800452232883
9,coex_EMS,33,29,-0.19781238413051527
10,coex_SMU,32,26,-0.07572115384615374
11,coex_ARG,28,27,-0.040295815295815274
12,coex_TST,37,33,0.05267345267345269
13,coex_PIT,38,28,0.03389154704944164
14,coex_LVR,36,29,-0.09447352216748772
15,coex_THY,35,30,-0.16520146520146506
16,coex_PNC,32,25,-0.045679824561403404
17,coex_ATC,37,36,-0.04625047582794051
18,coex_BRO,37,32,-0.06760620915032689
19,coex_SKN,36,33,0.1773897058823528
20,coex_ADS,34,27,0.071493212669683
21,coex_GEJ,35,30,-0.2789408866995071
22,coex_BRB,31,22,0.11258741258741267
23,coex_UTR,24,24,0.2615942028985505
24,coex_STM,37,36,-0.055355012546793425
25,coex_HRA,29,28,-0.17267306196525833
26,coex_PRS,34,31,-0.03340548340548377
27,coex_ATA,29,31,-0.18709331774790572
28,coex_FIB,19,29,-0.14201727723564228
29,coex_BRC,30,26,0.0543956043956042
30,coex_ATT,34,31,0.09221813725490202
31,coex_TNV,27,20,0.19264214046822703
32,coex_SPL,37,33,0.10664560664560696
33,coex_LCL,22,29,-0.22878254750175953
34,coex_CLS,33,33,-0.1515151515151516
35,coex_EMC,39,32,-0.22214698447092807
36,coex_CLT,39,33,0.021036621036621073
37,coex_core,44,39,0.10665823116191797
38,coex_WBL,34,38,0.040892672858617196
39,co-essential,7,13,-0.8984962406015038
40,GOBP,13,13,0.6628787878787881
41,ppi,50,50,0.10000000000000009
42,reactome_copathway,28,24,0.45542635658914765
43,MP,8,12,1.1102272727272728
44,HP,43,28,0.13058584062514633
45,GI_net,24,28,-0.026974678760392834
46,gene_gene_on_CbG_name_mapped,9,15,-0.2388888888888887
47,gene_gene_on_GcG_name_mapped,28,32,-0.1328869047619048
48,GOMF,4,7,
