,Layer,Pneumonia nodes,Pleural_effusion nodes,sAB
0,coex_KDN,26,32,0.13225298408488095
1,coex_BST,11,29,-0.15277777777777812
2,coex_OVR,15,24,-0.03814102564102573
3,coex_LNG,22,24,-0.05113636363636331
4,coex_ITI,24,30,0.25370370370370376
5,coex_VGN,11,24,0.15595238095238084
6,coex_HRV,14,15,-0.25769230769230766
7,coex_MSG,18,29,-0.08891742072226316
8,coex_ADV,18,33,0.25025252525252517
9,coex_EMS,13,32,0.0281862745098036
10,coex_SMU,10,20,-0.016666666666666607
11,coex_ARG,9,22,0.22222222222222232
12,coex_TST,17,26,0.13519479086193598
13,coex_PIT,18,27,-0.052540913006029255
14,coex_LVR,16,27,-0.19624784668389306
15,coex_THY,20,20,0.10000000000000009
16,coex_PNC,13,30,0.6469588550983902
17,coex_ATC,14,24,0.11669799498746869
18,coex_BRO,19,26,0.10076555023923461
19,coex_SKN,12,24,0.0
20,coex_ADS,11,32,1.2743331936880322
21,coex_GEJ,14,21,0.04306722689075615
22,coex_BRB,16,17,0.0
23,coex_UTR,8,20,0.04038461538461524
24,coex_STM,16,26,0.2748397435897434
25,coex_HRA,11,23,0.10346431062543582
26,coex_PRS,16,22,-0.09645354645354676
27,coex_ATA,12,33,0.18883928571428577
28,coex_FIB,12,14,0.3594322344322345
29,coex_BRC,12,22,-0.3030303030303032
30,coex_ATT,10,31,0.06048387096774199
31,coex_TNV,13,22,-0.039370629370629295
32,coex_SPL,22,28,0.12531055900621135
33,coex_LCL,10,15,0.2766122766122767
34,coex_CLS,13,25,-0.07748987854251022
35,coex_EMC,16,25,-0.10807017543859665
36,coex_CLT,21,26,0.13722488038277492
37,coex_core,21,38,0.050000000000000044
38,coex_WBL,24,21,0.020487264673310968
39,co-essential,5,8,-1.0416666666666665
40,GOBP,15,21,1.5269360269360268
41,ppi,50,48,0.28325680272108844
42,reactome_copathway,23,21,0.041228070175438614
43,MP,13,11,0.5250000000000004
44,HP,22,33,0.10151515151515156
45,GI_net,21,18,-0.1168918918918922
46,gene_gene_on_CbG_name_mapped,10,7,-0.08151260504201696
47,gene_gene_on_GcG_name_mapped,31,28,-0.13969382176052503
48,GOMF,4,9,
