,Layer,Tetralogy_of_Fallot nodes,Hypertrophic_cardiomyopathy nodes,sAB
0,coex_KDN,37,39,-0.01405405405405391
1,coex_BST,28,26,0.2647028897028898
2,coex_OVR,31,27,0.24877435834054307
3,coex_LNG,35,29,0.2470840616558081
4,coex_ITI,36,32,0.1822028251599146
5,coex_VGN,35,32,0.011387260127931675
6,coex_HRV,14,28,0.44166989288940517
7,coex_MSG,37,37,0.21621621621621623
8,coex_ADV,28,27,0.5067700817700818
9,coex_EMS,29,32,0.03858375420875415
10,coex_SMU,26,31,0.20680423142222848
11,coex_ARG,26,32,0.027146883289124624
12,coex_TST,37,38,-0.06536747273589372
13,coex_PIT,31,34,0.06514235092864107
14,coex_LVR,27,31,0.1815391587360442
15,coex_THY,29,31,0.25792032299262546
16,coex_PNC,24,24,-0.03952569169960496
17,coex_ATC,35,39,0.34070884070884055
18,coex_BRO,33,30,0.10981240981241003
19,coex_SKN,32,32,0.046875
20,coex_ADS,22,26,0.4497129186602873
21,coex_GEJ,30,31,0.0642857142857145
22,coex_BRB,16,17,0.36887254901960764
23,coex_UTR,29,27,0.36282156540777244
24,coex_STM,33,33,0.21875
25,coex_HRA,34,35,0.23529411764705888
26,coex_PRS,32,37,0.25539771270321543
27,coex_ATA,28,28,0.0011423761423761114
28,coex_FIB,23,27,0.03632850241545893
29,coex_BRC,29,32,0.18291569257743978
30,coex_ATT,32,30,4.440892098500626e-16
31,coex_TNV,16,19,0.8695970695970696
32,coex_SPL,28,32,-0.0592261904761906
33,coex_LCL,21,25,0.33825682977326643
34,coex_CLS,30,31,0.10456062291434942
35,coex_EMC,29,27,0.08787074993971533
36,coex_CLT,30,29,0.052134646962233244
37,coex_core,32,38,0.5549002512949381
38,coex_WBL,22,41,0.3723783213987133
39,co-essential,12,14,0.43478260869565233
40,GOBP,14,27,1.3846153846153846
41,ppi,50,50,0.21999999999999997
42,reactome_copathway,15,15,0.15384615384615374
43,MP,12,16,0.23999999999999977
44,HP,44,45,0.7984905232096242
45,GI_net,20,21,0.04999999999999982
46,gene_gene_on_CbG_name_mapped,2,13,-0.16153846153846163
47,gene_gene_on_GcG_name_mapped,36,29,0.13068818155025053
48,GOMF,5,6,
