,Layer,Essential_hypertension nodes,Renovascular_hypertension nodes,sAB
0,coex_KDN,43,43,-0.6744186046511627
1,coex_BST,25,24,-0.896392229417206
2,coex_OVR,27,26,-0.7735849056603774
3,coex_LNG,23,29,-0.9210587014185216
4,coex_ITI,33,34,-0.6123061164764412
5,coex_VGN,29,30,-0.8505941944282096
6,coex_HRV,19,19,-1.5454866631337218
7,coex_MSG,35,38,-0.6622154701823051
8,coex_ADV,24,22,-1.0647233201581023
9,coex_EMS,22,24,-1.0482142857142858
10,coex_SMU,18,26,-1.2498057498057495
11,coex_ARG,24,26,-1.1321739130434783
12,coex_TST,33,28,-0.8687637499112909
13,coex_PIT,29,32,-0.8682960005652912
14,coex_LVR,24,30,-0.9665744957709825
15,coex_THY,19,24,-1.5335067319461444
16,coex_PNC,27,26,-1.2939310863839164
17,coex_ATC,25,27,-0.9013960113960116
18,coex_BRO,24,28,-1.0881410256410253
19,coex_SKN,28,28,-0.7666305916305918
20,coex_ADS,19,23,-1.1194083694083696
21,coex_GEJ,22,19,-0.899267399267399
22,coex_BRB,20,24,-1.3038944259874494
23,coex_UTR,15,19,-1.0786377708978327
24,coex_STM,28,28,-0.8392857142857142
25,coex_HRA,22,22,-0.9064259485924111
26,coex_PRS,21,24,-1.1960317460317462
27,coex_ATA,24,23,-1.2849371373307545
28,coex_FIB,20,20,-0.7644736842105266
29,coex_BRC,29,29,-0.9827586206896552
30,coex_ATT,23,27,-1.140057032914176
31,coex_TNV,15,18,-1.6722222222222223
32,coex_SPL,24,28,-1.230757520399464
33,coex_LCL,17,20,-1.0295837633298934
34,coex_CLS,33,27,-1.0764575486503456
35,coex_EMC,25,29,-1.195759897828863
36,coex_CLT,35,33,-0.8651927528134726
37,coex_core,30,34,-0.7463848720800887
38,coex_WBL,22,22,-1.0638528138528138
39,co-essential,6,7,0.08333333333333304
40,GOBP,13,9,-1.9662698412698412
41,ppi,50,50,-0.5900000000000001
42,reactome_copathway,16,17,-1.0554812834224598
43,MP,15,8,-1.5952380952380958
44,HP,31,30,-0.6397320641635817
45,GI_net,17,17,-0.90625
46,gene_gene_on_CbG_name_mapped,25,22,-0.5087814313346228
47,gene_gene_on_GcG_name_mapped,32,39,-0.796965285301553
48,GOMF,5,1,
