,Layer,Cholelithiasis nodes,Factor_VII_deficiency nodes,sAB
0,coex_KDN,31,35,0.014732579248708522
1,coex_BST,23,18,-0.043301519971721714
2,coex_OVR,22,19,-0.08498657953086663
3,coex_LNG,24,27,0.4357005428434002
4,coex_ITI,33,22,-0.024242424242424176
5,coex_VGN,25,26,0.04189952904238603
6,coex_HRV,17,15,-0.10000000000000009
7,coex_MSG,26,28,0.09966422466422475
8,coex_ADV,24,19,0.0635583524027461
9,coex_EMS,24,16,0.14583333333333304
10,coex_SMU,23,20,0.09125379170879677
11,coex_ARG,24,15,0.2157051282051281
12,coex_TST,30,32,0.08141801075268806
13,coex_PIT,27,25,0.24264705882352944
14,coex_LVR,33,36,0.10479797979797989
15,coex_THY,22,17,0.2595982448923624
16,coex_PNC,22,26,0.35887814313346267
17,coex_ATC,22,19,0.009248453728556427
18,coex_BRO,24,21,0.1632575757575756
19,coex_SKN,24,22,0.09007936507936476
20,coex_ADS,18,16,0.26086229946524053
21,coex_GEJ,23,16,0.05756578947368407
22,coex_BRB,11,9,-0.1657894736842107
23,coex_UTR,22,11,0.1818181818181821
24,coex_STM,25,23,-0.028768115942029215
25,coex_HRA,25,19,-0.029922480620155234
26,coex_PRS,22,20,-0.10735930735930754
27,coex_ATA,15,21,0.007142857142856673
28,coex_FIB,21,15,-0.22380952380952368
29,coex_BRC,24,20,-0.04271215830273345
30,coex_ATT,23,23,0.023938321536905782
31,coex_TNV,12,15,0.6845238095238098
32,coex_SPL,25,33,0.4896320346320344
33,coex_LCL,19,16,0.04600563909774458
34,coex_CLS,29,19,-0.07868741001439794
35,coex_EMC,23,23,0.013219148001756942
36,coex_CLT,30,21,-0.026470588235294246
37,coex_core,25,23,0.10416666666666652
38,coex_WBL,24,26,1.252820512820513
39,co-essential,9,9,1.166666666666666
40,GOBP,28,33,1.6207477069546037
41,ppi,49,50,0.3010430839002267
42,reactome_copathway,15,31,0.5508620689655173
43,MP,10,15,0.2277591973244144
44,HP,31,45,0.49183172986229007
45,GI_net,17,18,-0.08272642390289464
46,gene_gene_on_CbG_name_mapped,20,23,0.5343528816986856
47,gene_gene_on_GcG_name_mapped,28,33,-0.02078454332552715
48,GOMF,5,5,
