,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Immunodeficiency nodes,sAB
0,coex_KDN,32,34,0.3091020499108734
1,coex_BST,24,13,0.09429580081754008
2,coex_OVR,16,13,0.15251989389920384
3,coex_LNG,25,26,0.33999999999999986
4,coex_ITI,30,35,0.3433497536945813
5,coex_VGN,30,19,0.4722222222222223
6,coex_HRV,15,8,0.5281385281385282
7,coex_MSG,25,18,0.1425322997416021
8,coex_ADV,22,17,0.5349880382775121
9,coex_EMS,22,11,0.4318181818181821
10,coex_SMU,21,10,0.45921658986175107
11,coex_ARG,26,8,0.017732267732267548
12,coex_TST,31,19,0.1696774193548387
13,coex_PIT,33,13,0.17239282456673766
14,coex_LVR,21,16,0.6596283783783785
15,coex_THY,23,32,0.9809880006233445
16,coex_PNC,30,11,0.23930150309460663
17,coex_ATC,25,22,0.13909090909090915
18,coex_BRO,42,12,0.06415343915343907
19,coex_SKN,22,14,0.06666666666666687
20,coex_ADS,19,15,-0.24900793650793673
21,coex_GEJ,23,17,0.3731457800511504
22,coex_BRB,34,11,0.7239453357100416
23,coex_UTR,17,10,-0.26045751633986924
24,coex_STM,28,17,0.44484126984127004
25,coex_HRA,24,8,-0.04166666666666652
26,coex_PRS,20,17,0.4498012718600952
27,coex_ATA,20,16,-0.06715225563909799
28,coex_FIB,17,7,-0.19642857142857117
29,coex_BRC,36,11,0.3631313131313134
30,coex_ATT,22,13,0.17847593582887722
31,coex_TNV,22,12,0.4874999999999998
32,coex_SPL,21,32,0.9946232030548066
33,coex_LCL,12,13,0.3511904761904763
34,coex_CLS,30,22,0.22815126050420176
35,coex_EMC,22,26,0.68006993006993
36,coex_CLT,25,28,0.42951482479784353
37,coex_core,28,35,0.6238140417457307
38,coex_WBL,14,31,0.7800819252432154
39,co-essential,7,3,-0.371428571428571
40,GOBP,27,29,1.4745370370370372
41,ppi,49,49,0.3265306122448979
42,reactome_copathway,19,23,0.7938172043010754
43,MP,11,17,1.557072829131652
44,HP,37,50,1.0738117427772598
45,GI_net,18,15,-0.004545454545454852
46,gene_gene_on_CbG_name_mapped,20,4,0.14166666666666683
47,gene_gene_on_GcG_name_mapped,31,30,0.1634849286092015
48,GOMF,6,6,
