,Layer,Myositis_disease nodes,Peritonitis nodes,sAB
0,coex_KDN,35,37,-0.28997211497211506
1,coex_BST,20,26,-0.7371212121212118
2,coex_OVR,23,25,-0.47778985507246374
3,coex_LNG,31,33,-0.2369562561094818
4,coex_ITI,34,31,-0.2705269607843137
5,coex_VGN,24,29,-0.19843851659076117
6,coex_HRV,14,20,-0.36239495798319354
7,coex_MSG,31,32,-0.25389624935995925
8,coex_ADV,24,22,-0.3712944664031621
9,coex_EMS,23,30,-0.4014992503748127
10,coex_SMU,23,22,-0.31319718928414564
11,coex_ARG,21,25,-0.34774327122153226
12,coex_TST,25,32,-0.3364035087719297
13,coex_PIT,22,31,-0.15268065268065256
14,coex_LVR,28,33,-0.2908860265417643
15,coex_THY,26,32,-0.30208333333333304
16,coex_PNC,21,27,-0.4530423280423279
17,coex_ATC,31,29,-0.0294957360029664
18,coex_BRO,21,31,-0.20780984719864204
19,coex_SKN,23,32,-0.4593873517786564
20,coex_ADS,20,25,-0.4342105263157894
21,coex_GEJ,26,26,-0.38000000000000034
22,coex_BRB,12,25,-0.3863063063063059
23,coex_UTR,24,21,-0.9035714285714287
24,coex_STM,31,32,-0.07852822580645147
25,coex_HRA,21,24,0.07636928289102185
26,coex_PRS,21,28,-0.23894557823129237
27,coex_ATA,17,27,-0.429441473559121
28,coex_FIB,19,20,-0.17807017543859627
29,coex_BRC,19,25,-0.1380861244019136
30,coex_ATT,22,27,-0.26034382284382307
31,coex_TNV,13,17,-0.9192021636240706
32,coex_SPL,32,36,-0.41503267973856217
33,coex_LCL,21,18,-0.19444444444444442
34,coex_CLS,30,29,-0.31034482758620685
35,coex_EMC,25,33,-0.27529761904761885
36,coex_CLT,32,34,-0.4484848484848485
37,coex_core,34,34,-0.16666666666666674
38,coex_WBL,30,32,0.07560483870967749
39,co-essential,6,8,-0.1875
40,GOBP,18,13,0.4176136363636367
41,ppi,47,50,-0.20888352708927416
42,reactome_copathway,21,29,-0.19018068220195872
43,MP,8,10,-0.6749999999999998
44,HP,29,38,0.12000568843622172
45,GI_net,17,29,-0.38480392156862764
46,gene_gene_on_CbG_name_mapped,7,16,-0.2895962732919255
47,gene_gene_on_GcG_name_mapped,23,30,-0.24107191687175278
48,GOMF,4,5,
