,Layer,Joint_hemorrhage nodes,Metrorrhagia nodes,sAB
0,coex_KDN,37,38,-0.22470839260312947
1,coex_BST,15,29,-0.3803986710963456
2,coex_OVR,21,28,-0.12202380952380953
3,coex_LNG,21,31,-0.08572610185513385
4,coex_ITI,26,33,-0.09174864683339234
5,coex_VGN,24,33,-0.03448963317384379
6,coex_HRV,24,19,-0.6259920634920637
7,coex_MSG,32,34,-0.22234291443850251
8,coex_ADV,16,23,0.07954545454545459
9,coex_EMS,16,25,0.24521341463414625
10,coex_SMU,21,29,-0.16837438423645334
11,coex_ARG,15,25,0.05846153846153834
12,coex_TST,30,39,-0.05434782608695654
13,coex_PIT,34,34,-0.127438093622795
14,coex_LVR,40,32,-0.11840277777777763
15,coex_THY,19,27,0.1495889482159507
16,coex_PNC,27,30,-0.07491582491582482
17,coex_ATC,24,29,-0.03285621340273259
18,coex_BRO,27,32,0.12773658192090398
19,coex_SKN,24,33,0.09010916619612241
20,coex_ADS,26,24,-0.24208245170978104
21,coex_GEJ,16,25,-0.36666666666666714
22,coex_BRB,21,22,-0.01799557032115162
23,coex_UTR,13,24,-0.21309771309771275
24,coex_STM,31,32,-0.3671194956477213
25,coex_HRA,16,31,-0.47789750957854404
26,coex_PRS,19,29,-0.5979243321068626
27,coex_ATA,25,29,-0.16536388140161717
28,coex_FIB,12,26,-0.07759784075573539
29,coex_BRC,19,29,0.43709006558950536
30,coex_ATT,27,30,-0.26139601139601165
31,coex_TNV,22,17,-0.07091257555653874
32,coex_SPL,35,33,-0.09759358288770059
33,coex_LCL,12,27,-0.3475101896154529
34,coex_CLS,25,25,-0.18000000000000016
35,coex_EMC,24,29,-0.278133423180593
36,coex_CLT,26,31,-0.00787878787878804
37,coex_core,30,33,-0.0880352600339176
38,coex_WBL,24,34,-0.17532467532467555
39,co-essential,1,13,
40,GOBP,23,19,-0.19328644501278802
41,ppi,50,50,0.040000000000000036
42,reactome_copathway,31,29,-0.06996882914474956
43,MP,17,11,0.9390782828282829
44,HP,39,43,-0.09865177363759337
45,GI_net,10,26,-0.6071428571428572
46,gene_gene_on_CbG_name_mapped,23,12,-0.2816252587991719
47,gene_gene_on_GcG_name_mapped,32,31,-0.4078581029185868
48,GOMF,5,1,
