,Layer,Erythroderma nodes,Exanthem nodes,sAB
0,coex_KDN,30,41,-0.2795472908145231
1,coex_BST,18,26,-0.23118863049095584
2,coex_OVR,34,36,-0.4330065359477122
3,coex_LNG,28,38,-0.2710652834008096
4,coex_ITI,26,41,-0.2787516451513541
5,coex_VGN,38,34,-0.25137176742698264
6,coex_HRV,11,26,-0.07428571428571429
7,coex_MSG,36,39,-0.13309573309573297
8,coex_ADV,18,31,-0.2854609929078009
9,coex_EMS,28,29,-0.22627689914441285
10,coex_SMU,19,26,-0.31953205912814253
11,coex_ARG,13,28,0.14038461538461533
12,coex_TST,23,31,-0.006280086316604816
13,coex_PIT,21,30,-0.5068627450980392
14,coex_LVR,25,33,-0.16369517543859646
15,coex_THY,22,34,-0.17140947288006103
16,coex_PNC,18,28,-0.3358350586611456
17,coex_ATC,22,37,-0.14165890027958983
18,coex_BRO,20,31,-0.16200189753320693
19,coex_SKN,37,32,-0.06444035947712412
20,coex_ADS,31,36,-0.19139784946236604
21,coex_GEJ,30,36,-0.1242918719211823
22,coex_BRB,12,26,-0.11487854251012153
23,coex_UTR,14,21,-0.354510073260073
24,coex_STM,26,38,-0.2697368421052633
25,coex_HRA,18,25,-0.4598214285714288
26,coex_PRS,27,26,-0.37919959146374205
27,coex_ATA,20,31,-0.28516761543327007
28,coex_FIB,16,21,-0.12986111111111098
29,coex_BRC,20,24,-0.18421052631578938
30,coex_ATT,23,31,-0.32056810994192375
31,coex_TNV,21,20,-0.19999999999999973
32,coex_SPL,27,39,-0.33618233618233595
33,coex_LCL,14,22,-0.24891774891774898
34,coex_CLS,26,37,-0.28947176684881626
35,coex_EMC,35,35,-0.2317290552584672
36,coex_CLT,27,37,-0.34130397678784785
37,coex_core,38,45,-0.18432385874246338
38,coex_WBL,24,37,-0.17077425786442157
39,co-essential,6,6,-0.833333333333333
40,GOBP,22,19,0.3888888888888893
41,ppi,49,50,0.039756751185322736
42,reactome_copathway,23,19,-0.42520242914979756
43,MP,17,11,0.7083916083916084
44,HP,47,49,0.15595599942104488
45,GI_net,20,19,-0.2611865258924084
46,gene_gene_on_CbG_name_mapped,8,13,-0.33974358974358987
47,gene_gene_on_GcG_name_mapped,17,25,-0.08761904761904771
48,GOMF,11,8,-1.45
