,Layer,Intracranial_swelling nodes,Keratitis nodes,sAB
0,coex_KDN,39,34,0.4168912999528267
1,coex_BST,28,25,0.2665306122448978
2,coex_OVR,34,38,0.020840353123525723
3,coex_LNG,31,31,0.08333333333333348
4,coex_ITI,38,29,0.3387445887445888
5,coex_VGN,32,38,0.23430156738269226
6,coex_HRV,29,17,1.4399164054336464
7,coex_MSG,32,41,0.19683427998663539
8,coex_ADV,24,29,0.8058608058608061
9,coex_EMS,28,32,0.3352678571428571
10,coex_SMU,31,26,0.38253667667929125
11,coex_ARG,32,26,0.3263013925729441
12,coex_TST,34,34,0.08823529411764697
13,coex_PIT,34,33,0.07178678798520766
14,coex_LVR,37,32,0.2607230392156865
15,coex_THY,29,24,0.40041208791208804
16,coex_PNC,31,31,-0.09677419354838745
17,coex_ATC,29,27,0.24420024420024422
18,coex_BRO,36,33,0.13725490196078471
19,coex_SKN,31,39,0.16098104793756995
20,coex_ADS,30,28,1.6143162393162394
21,coex_GEJ,27,36,0.318121693121693
22,coex_BRB,26,22,0.43108974358974317
23,coex_UTR,22,26,0.052069632495164164
24,coex_STM,36,28,0.298859126984127
25,coex_HRA,32,25,0.552258064516129
26,coex_PRS,27,30,0.019613209268381393
27,coex_ATA,24,25,0.4240986394557824
28,coex_FIB,28,21,0.1755952380952377
29,coex_BRC,36,30,0.008333333333333304
30,coex_ATT,31,26,0.06054979503255353
31,coex_TNV,23,18,1.000383631713555
32,coex_SPL,32,30,0.09264112903225796
33,coex_LCL,27,20,0.08444444444444432
34,coex_CLS,34,29,-0.03849394950618512
35,coex_EMC,31,35,0.3220610824975152
36,coex_CLT,32,31,0.07827380952380936
37,coex_core,35,41,0.3803332713485814
38,coex_WBL,31,28,0.29214832461141915
39,co-essential,16,9,-0.0036111111111112315
40,GOBP,26,18,2.171666666666667
41,ppi,50,50,0.3999999999999999
42,reactome_copathway,15,27,0.38073593073593104
43,MP,7,18,1.6505681818181817
44,HP,36,47,1.0383377481557434
45,GI_net,21,26,0.108873200442968
46,gene_gene_on_CbG_name_mapped,33,8,0.3422949002217297
47,gene_gene_on_GcG_name_mapped,31,25,-0.0641013824884793
48,GOMF,9,6,
