,Layer,Melanoma nodes,Macular_degeneration nodes,sAB
0,coex_KDN,19,31,0.21643463497453297
1,coex_BST,22,19,-0.010765550239234312
2,coex_OVR,21,26,0.20694444444444393
3,coex_LNG,21,27,0.2566137566137563
4,coex_ITI,18,33,-0.12106357694592984
5,coex_VGN,21,29,-0.022108843537415268
6,coex_HRV,7,15,-0.12077922077922087
7,coex_MSG,24,31,-0.016898826979472314
8,coex_ADV,15,23,0.10122044241037376
9,coex_EMS,18,24,0.2718253968253972
10,coex_SMU,19,23,0.08521303258145352
11,coex_ARG,19,23,0.015141790173882841
12,coex_TST,27,34,-0.06490410371799005
13,coex_PIT,25,29,-0.030293742017879932
14,coex_LVR,20,29,0.060269207501512545
15,coex_THY,14,22,0.11428571428571388
16,coex_PNC,21,25,0.2299603174603173
17,coex_ATC,20,26,0.2656995051731894
18,coex_BRO,27,28,0.0370370370370372
19,coex_SKN,23,29,0.12954099873140335
20,coex_ADS,15,24,0.1983380896424376
21,coex_GEJ,18,23,0.224358974358974
22,coex_BRB,14,19,-0.02378542510121484
23,coex_UTR,19,19,-0.05263157894736814
24,coex_STM,21,24,0.24384920634920615
25,coex_HRA,19,26,0.22880382775119612
26,coex_PRS,20,25,-0.034848484848484906
27,coex_ATA,17,22,-0.0912861648155765
28,coex_FIB,19,22,-0.16302952503209256
29,coex_BRC,22,28,0.027932385075242205
30,coex_ATT,17,24,0.2237864658058344
31,coex_TNV,9,15,0.12353347135955817
32,coex_SPL,17,27,-0.01029906912259837
33,coex_LCL,15,15,0.23571428571428577
34,coex_CLS,20,29,0.07582742316784863
35,coex_EMC,18,26,-0.005633255633255674
36,coex_CLT,20,31,0.029380139152435092
37,coex_core,18,32,0.2833333333333332
38,coex_WBL,17,26,0.009838998211091354
39,co-essential,11,7,1.1352941176470588
40,GOBP,15,20,0.7341589267285862
41,ppi,50,49,0.2924634096062668
42,reactome_copathway,18,6,0.10227272727272707
43,MP,9,24,0.45833333333333304
44,HP,25,43,0.2827359781121752
45,GI_net,26,15,0.10512820512820475
46,gene_gene_on_CbG_name_mapped,8,9,0.11846405228758172
47,gene_gene_on_GcG_name_mapped,34,33,-0.07414132545827012
48,GOMF,5,7,
