,Layer,Peripheral_vascular_disease nodes,Renovascular_hypertension nodes,sAB
0,coex_KDN,33,43,-0.2286914431957272
1,coex_BST,16,24,-0.26665273132664424
2,coex_OVR,21,26,-0.3436170212765961
3,coex_LNG,25,29,-0.056653895274584976
4,coex_ITI,27,34,-0.19376584878031355
5,coex_VGN,22,30,-0.24061624649859947
6,coex_HRV,14,19,-0.426244343891403
7,coex_MSG,31,38,-0.3843470879161439
8,coex_ADV,21,22,-0.4624458874458872
9,coex_EMS,18,24,-0.4275793650793651
10,coex_SMU,17,26,-0.471219614858466
11,coex_ARG,18,26,-0.23619047619047606
12,coex_TST,23,28,-0.34596882231153336
13,coex_PIT,25,32,-0.3311011904761907
14,coex_LVR,36,30,-0.2793103448275862
15,coex_THY,20,24,-0.5772727272727272
16,coex_PNC,26,26,-0.13461538461538414
17,coex_ATC,22,27,-0.5668762454476741
18,coex_BRO,18,28,-0.20229468599033806
19,coex_SKN,23,28,0.054480519480519796
20,coex_ADS,20,23,-0.4713502158945033
21,coex_GEJ,20,19,-0.20412517780938844
22,coex_BRB,14,24,-0.4214285714285715
23,coex_UTR,9,19,-0.361737677527151
24,coex_STM,24,28,-0.17605311355311337
25,coex_HRA,21,22,-0.49863701578192243
26,coex_PRS,19,24,-0.46825396825396837
27,coex_ATA,28,23,-0.4796103896103898
28,coex_FIB,17,20,-0.2539559683522534
29,coex_BRC,19,29,-0.2992581723322736
30,coex_ATT,22,27,-0.08000394011032297
31,coex_TNV,17,18,-0.7534722222222223
32,coex_SPL,29,28,-0.0711476968282776
33,coex_LCL,14,20,-0.28649678494879716
34,coex_CLS,24,27,-0.22262479871175533
35,coex_EMC,21,29,-0.14683321604503874
36,coex_CLT,21,33,-0.29918524871355046
37,coex_core,29,34,-0.35077658303464765
38,coex_WBL,24,22,0.5269151138716355
39,co-essential,8,7,-2.032967032967033
40,GOBP,12,9,-0.666666666666667
41,ppi,50,50,-0.24
42,reactome_copathway,21,17,-0.5583068362480128
43,MP,15,8,-0.6428571428571428
44,HP,28,30,-0.06646141215106716
45,GI_net,14,17,-0.1297248010610077
46,gene_gene_on_CbG_name_mapped,23,22,-0.22134387351778662
47,gene_gene_on_GcG_name_mapped,29,39,-0.26371768866697876
48,GOMF,2,1,
