,Layer,Sinusitis nodes,Biliary_cirrhosis nodes,sAB
0,coex_KDN,39,41,0.04330040135844415
1,coex_BST,21,21,0.38095238095238115
2,coex_OVR,26,22,-0.19346228239845265
3,coex_LNG,41,28,0.03671792152704123
4,coex_ITI,34,39,0.07309035310646905
5,coex_VGN,27,27,-0.002499596839219187
6,coex_HRV,21,15,-0.23298319327731054
7,coex_MSG,35,29,0.027380952380952506
8,coex_ADV,23,20,0.2366962305986693
9,coex_EMS,19,21,-0.18884711779448615
10,coex_SMU,26,21,-0.015113871635610732
11,coex_ARG,19,17,-0.25068799449604384
12,coex_TST,36,28,0.16889880952380953
13,coex_PIT,31,24,0.13225286998078012
14,coex_LVR,26,26,-0.23453996983408731
15,coex_THY,33,28,-0.010112837981690603
16,coex_PNC,25,25,-0.18000000000000016
17,coex_ATC,33,26,-0.11967128916281466
18,coex_BRO,32,25,0.05589912280701759
19,coex_SKN,27,24,-0.2858678588492254
20,coex_ADS,30,20,0.2624032371569318
21,coex_GEJ,29,23,0.022404573114512605
22,coex_BRB,28,19,-0.2010339859310113
23,coex_UTR,18,19,0.025209419946262468
24,coex_STM,33,29,0.29627195200053924
25,coex_HRA,19,20,-0.043713450292397926
26,coex_PRS,26,27,-0.05618401206636481
27,coex_ATA,25,21,-0.09242424242424274
28,coex_FIB,19,20,-0.3327935222672065
29,coex_BRC,22,22,-0.04391925903553817
30,coex_ATT,29,24,-0.1840041517702682
31,coex_TNV,19,17,-0.2317927170868348
32,coex_SPL,32,32,0.09375
33,coex_LCL,23,19,0.05700781888201667
34,coex_CLS,28,33,-0.011011904761904834
35,coex_EMC,33,29,-0.06745036572622798
36,coex_CLT,31,35,-0.016895343745438662
37,coex_core,35,35,-0.0906289788642729
38,coex_WBL,35,27,-0.14645844000682717
39,co-essential,5,3,-0.2333333333333334
40,GOBP,18,24,1.885416666666666
41,ppi,48,50,0.12350340136054427
42,reactome_copathway,18,19,0.1592261904761907
43,MP,13,19,1.220900809716599
44,HP,44,26,0.252897102897103
45,GI_net,23,24,0.13816425120772946
46,gene_gene_on_CbG_name_mapped,8,14,-0.1428571428571428
47,gene_gene_on_GcG_name_mapped,24,33,-0.07705342902711343
48,GOMF,4,8,
