,Layer,Nephrotic_syndrome nodes,Intermittent_claudication nodes,sAB
0,coex_KDN,43,41,-0.022290197985036286
1,coex_BST,22,28,0.2067532467532467
2,coex_OVR,31,30,-0.21021505376344063
3,coex_LNG,33,36,-0.04033905228758172
4,coex_ITI,39,36,-0.10145299145299158
5,coex_VGN,32,30,0.04918032786885229
6,coex_HRV,18,20,0.11461988304093573
7,coex_MSG,35,35,0.11428571428571432
8,coex_ADV,26,28,-0.26923076923076916
9,coex_EMS,20,30,-0.21104547081990677
10,coex_SMU,26,30,-0.37554945054945055
11,coex_ARG,23,31,-0.2096638655462182
12,coex_TST,38,34,0.002751977984176257
13,coex_PIT,31,32,0.04669898873527889
14,coex_LVR,36,41,0.005609228170203817
15,coex_THY,25,31,0.060921658986174965
16,coex_PNC,25,34,-0.018424611223800014
17,coex_ATC,30,33,0.06647116324535673
18,coex_BRO,29,33,-0.17997303243204898
19,coex_SKN,29,33,-0.08273565573770503
20,coex_ADS,22,29,0.03114004222378597
21,coex_GEJ,20,28,-0.245468873128448
22,coex_BRB,27,20,-0.2992671816201229
23,coex_UTR,25,26,-0.1384615384615384
24,coex_STM,34,34,0.0588235294117645
25,coex_HRA,26,30,-0.1316855558234873
26,coex_PRS,28,31,-0.17912907345610352
27,coex_ATA,30,31,0.03131500088136763
28,coex_FIB,23,32,-0.1657583135063352
29,coex_BRC,28,36,-0.2318783068783068
30,coex_ATT,28,31,-0.22749778956675515
31,coex_TNV,17,15,0.17058823529411793
32,coex_SPL,37,38,-0.06878615457562831
33,coex_LCL,15,27,-0.21669793621013156
34,coex_CLS,33,31,-0.04435483870967749
35,coex_EMC,28,31,-0.06546368392864488
36,coex_CLT,35,34,-0.07352941176470607
37,coex_core,35,35,-0.12159789288849887
38,coex_WBL,28,35,0.04047619047619033
39,co-essential,6,11,0.9238636363636363
40,GOBP,14,14,0.9967948717948718
41,ppi,50,50,0.030000000000000027
42,reactome_copathway,30,25,0.10059299191374649
43,MP,14,18,-0.306051587301587
44,HP,40,29,0.29026111944027977
45,GI_net,17,26,0.0947058823529412
46,gene_gene_on_CbG_name_mapped,9,17,-0.08345902463549515
47,gene_gene_on_GcG_name_mapped,28,37,-0.06740421740421754
48,GOMF,2,6,
