,Layer,Muscle_spasm nodes,Spondylolysis nodes,sAB
0,coex_KDN,40,40,-0.40000000000000013
1,coex_BST,35,29,-0.392063492063492
2,coex_OVR,35,28,-0.35039682539682526
3,coex_LNG,35,35,-0.34285714285714297
4,coex_ITI,40,36,-0.4703947368421053
5,coex_VGN,37,33,-0.49403299403299417
6,coex_HRV,12,19,-0.8083333333333331
7,coex_MSG,37,34,-0.44667368279630093
8,coex_ADV,35,24,-0.5564993238674782
9,coex_EMS,36,28,-0.23412698412698418
10,coex_SMU,37,29,-0.49643383436486865
11,coex_ARG,37,25,-0.3468670309653916
12,coex_TST,39,37,-0.3951745267534741
13,coex_PIT,42,39,-0.4514097744360901
14,coex_LVR,34,34,-0.2647058823529411
15,coex_THY,33,37,-0.6594141696043874
16,coex_PNC,35,34,-0.5365180854950677
17,coex_ATC,35,31,-0.4902946515849742
18,coex_BRO,38,36,-0.34749034749034746
19,coex_SKN,38,34,-0.502923976608187
20,coex_ADS,28,31,-0.3932676518883418
21,coex_GEJ,35,29,-0.28514222151597
22,coex_BRB,20,27,-0.7192307692307691
23,coex_UTR,32,25,-0.5601206140350876
24,coex_STM,38,37,-0.46756756756756745
25,coex_HRA,35,28,-0.5739375320020481
26,coex_PRS,34,32,-0.27762923351158664
27,coex_ATA,32,26,-0.8082311007957557
28,coex_FIB,32,28,-0.48735119047619047
29,coex_BRC,33,31,-0.37840603616813295
30,coex_ATT,35,36,-0.39640621506818685
31,coex_TNV,16,21,-0.2839446589446588
32,coex_SPL,35,32,-0.47365405117270765
33,coex_LCL,27,18,-0.7214452214452216
34,coex_CLS,36,37,-0.3688911514253981
35,coex_EMC,36,33,-0.41952614379084974
36,coex_CLT,39,38,-0.20721822037611526
37,coex_core,39,34,-0.45907973305233574
38,coex_WBL,32,29,-0.5914093414358395
39,co-essential,11,9,0.03678229665071786
40,GOBP,17,11,-0.5582912457912452
41,ppi,50,48,-0.31679421768707505
42,reactome_copathway,9,16,-0.05667701863354058
43,MP,13,12,-0.5113636363636367
44,HP,42,31,-0.35095519352675186
45,GI_net,25,22,-0.3809477756286266
46,gene_gene_on_CbG_name_mapped,11,11,-0.2727272727272727
47,gene_gene_on_GcG_name_mapped,30,33,-0.2987734487734488
48,GOMF,2,3,
