,Layer,Renovascular_hypertension nodes,Renal_insufficiency nodes,sAB
0,coex_KDN,43,44,-0.06905056985249458
1,coex_BST,24,16,-0.3636078595317722
2,coex_OVR,26,21,-0.16873706004140798
3,coex_LNG,29,22,0.02218944003933876
4,coex_ITI,34,27,-0.19728506787330335
5,coex_VGN,30,25,-0.350462962962963
6,coex_HRV,19,12,-0.8616755793226378
7,coex_MSG,38,31,-0.2525097807632686
8,coex_ADV,22,18,-0.030303030303030276
9,coex_EMS,24,19,-0.2791462668298652
10,coex_SMU,26,16,-0.1836080586080584
11,coex_ARG,26,19,-0.20651162790697697
12,coex_TST,28,31,-0.3909435288604235
13,coex_PIT,32,25,-0.048870614035087634
14,coex_LVR,30,25,-0.31931034482758625
15,coex_THY,24,19,-0.3070685434516527
16,coex_PNC,26,21,-0.1414715719063544
17,coex_ATC,27,25,-0.20293447293447286
18,coex_BRO,28,23,-0.35045454545454535
19,coex_SKN,28,24,-0.11863658506881003
20,coex_ADS,23,18,-0.37575757575757596
21,coex_GEJ,19,20,0.03485064011379757
22,coex_BRB,24,20,-0.46015037593984953
23,coex_UTR,19,17,0.17887856897144827
24,coex_STM,28,22,-0.26214285714285723
25,coex_HRA,22,17,-0.5463815789473683
26,coex_PRS,24,19,-0.4880952380952377
27,coex_ATA,23,23,-0.31818181818181834
28,coex_FIB,20,17,-0.5047564011379804
29,coex_BRC,29,20,-0.11866643209007721
30,coex_ATT,27,20,-0.26723798266351473
31,coex_TNV,18,18,-0.8146464646464646
32,coex_SPL,28,22,-0.480779220779221
33,coex_LCL,20,13,-0.5641945773524721
34,coex_CLS,27,27,-0.20370370370370416
35,coex_EMC,29,20,-0.25346586910626345
36,coex_CLT,33,27,-0.2428840125391849
37,coex_core,34,23,-0.23830202056008476
38,coex_WBL,22,18,-0.14558454960931755
39,co-essential,7,5,-1.4272727272727272
40,GOBP,9,11,-0.1730994152046783
41,ppi,50,50,-0.10999999999999988
42,reactome_copathway,17,14,-0.7471091000502765
43,MP,8,16,-0.30240683229813703
44,HP,30,44,-0.08929156429156415
45,GI_net,17,12,0.02232142857142838
46,gene_gene_on_CbG_name_mapped,22,12,-0.15953654188948319
47,gene_gene_on_GcG_name_mapped,39,33,-0.3167249417249418
48,GOMF,1,1,
