,Layer,Bronchiectasis nodes,Erythema_nodosum nodes,sAB
0,coex_KDN,36,38,0.04470918286707781
1,coex_BST,21,24,-0.013062518876472584
2,coex_OVR,18,30,-0.03888888888888875
3,coex_LNG,38,32,0.35521616541353396
4,coex_ITI,26,34,0.05452488687782808
5,coex_VGN,21,29,-0.1561904761904762
6,coex_HRV,12,20,-0.045601173020527686
7,coex_MSG,26,34,0.061990950226244346
8,coex_ADV,16,32,0.13941317776252538
9,coex_EMS,16,31,0.19121168582375514
10,coex_SMU,17,26,-0.2602073029569607
11,coex_ARG,14,26,-0.25164835164835164
12,coex_TST,35,33,0.12835497835497822
13,coex_PIT,31,30,0.09978847170809102
14,coex_LVR,19,30,-0.24863945578231306
15,coex_THY,29,24,0.12279060941227504
16,coex_PNC,22,27,-0.07705026455026465
17,coex_ATC,23,30,-0.07974858724483891
18,coex_BRO,32,30,0.4922007490107405
19,coex_SKN,19,28,-0.15864389233954457
20,coex_ADS,18,29,0.09985994397759113
21,coex_GEJ,23,28,0.19435817805383016
22,coex_BRB,29,22,0.2883116883116883
23,coex_UTR,13,23,0.11928651059085871
24,coex_STM,27,33,-0.16936026936026938
25,coex_HRA,17,25,0.08634146341463422
26,coex_PRS,22,26,0.1292249417249418
27,coex_ATA,19,30,-0.22444362924920513
28,coex_FIB,16,24,0.05833333333333357
29,coex_BRC,22,26,-0.038898601398601684
30,coex_ATT,20,31,-0.010819845179451004
31,coex_TNV,10,19,0.6411220358588778
32,coex_SPL,23,31,-0.016103059581320522
33,coex_LCL,23,21,-0.024224021592442524
34,coex_CLS,25,28,-0.012706552706552632
35,coex_EMC,28,28,0.018518518518518157
36,coex_CLT,29,34,0.034244276427360276
37,coex_core,32,39,0.4384191176470589
38,coex_WBL,28,29,0.1258438241196862
39,co-essential,6,5,-1.0590909090909095
40,GOBP,29,25,1.428698074974671
41,ppi,47,49,0.08419724272687801
42,reactome_copathway,16,24,0.48750000000000027
43,MP,15,13,1.546245421245421
44,HP,47,28,0.3929331306990882
45,GI_net,22,25,-0.3057476943346511
46,gene_gene_on_CbG_name_mapped,11,7,-0.23737373737373724
47,gene_gene_on_GcG_name_mapped,29,28,-0.15885619220464964
48,GOMF,6,10,
