,Layer,Urinary_bladder_inflammation nodes,Cellulitis nodes,sAB
0,coex_KDN,35,42,-0.18593073593073606
1,coex_BST,18,22,-0.37614468864468886
2,coex_OVR,25,36,-0.35428571428571454
3,coex_LNG,27,37,-0.4812596006144392
4,coex_ITI,33,41,-0.18796180987961808
5,coex_VGN,26,40,-0.1294871794871797
6,coex_HRV,17,28,-0.41355519480519476
7,coex_MSG,27,43,-0.16687584594561344
8,coex_ADV,21,33,-0.3949629380053912
9,coex_EMS,21,33,-0.5502645502645505
10,coex_SMU,19,32,-0.2892640608875128
11,coex_ARG,24,28,-0.18704212454212432
12,coex_TST,26,37,-0.22967197967197972
13,coex_PIT,30,38,-0.2628998968008254
14,coex_LVR,24,36,-0.3530020703933745
15,coex_THY,22,35,-0.3576441102756891
16,coex_PNC,22,32,-0.4287668350168352
17,coex_ATC,29,37,-0.25622958122958117
18,coex_BRO,31,37,-0.22802653399668316
19,coex_SKN,26,36,-0.3405707196029779
20,coex_ADS,23,34,0.10466004583651678
21,coex_GEJ,19,35,-0.471595655806182
22,coex_BRB,22,31,-0.36818181818181817
23,coex_UTR,18,24,-0.09375
24,coex_STM,25,37,-0.2632955536181343
25,coex_HRA,19,29,-0.3219525105868122
26,coex_PRS,19,34,-0.11029321555637361
27,coex_ATA,27,29,-0.35062695924764853
28,coex_FIB,16,19,-0.3075187969924813
29,coex_BRC,24,30,-0.267391304347826
30,coex_ATT,22,34,-0.3614209320091675
31,coex_TNV,17,27,-0.39239926739926734
32,coex_SPL,27,37,-0.49192942942942963
33,coex_LCL,15,22,-0.22380952380952412
34,coex_CLS,24,33,-0.3346291866028708
35,coex_EMC,24,39,-0.18035027151436678
36,coex_CLT,31,39,-0.344004820760039
37,coex_core,29,44,-0.10481823041967386
38,coex_WBL,24,34,0.01132521974306977
39,co-essential,10,7,-0.5731092436974787
40,GOBP,5,13,0.25
41,ppi,50,50,0.04000000000000026
42,reactome_copathway,26,28,0.0371376811594204
43,MP,7,8,0.5309523809523804
44,HP,25,43,0.08164158686730505
45,GI_net,22,24,-0.2443181818181821
46,gene_gene_on_CbG_name_mapped,19,9,-0.06558061821219696
47,gene_gene_on_GcG_name_mapped,31,28,-0.13532961024759826
48,GOMF,3,4,
