,Layer,Periodontitis nodes,Osteomyelitis nodes,sAB
0,coex_KDN,37,40,-0.0462719298245613
1,coex_BST,22,22,-0.13363787375415326
2,coex_OVR,30,27,-0.1241758241758244
3,coex_LNG,30,35,0.0023809523809528166
4,coex_ITI,33,38,-0.12568152568152557
5,coex_VGN,29,32,-0.07857142857142874
6,coex_HRV,20,20,-0.3605263157894738
7,coex_MSG,33,37,-0.062173862173862116
8,coex_ADV,29,29,-0.10495969547693695
9,coex_EMS,25,29,-0.11395304706137477
10,coex_SMU,24,24,-0.04257246376811619
11,coex_ARG,26,26,-0.2122473604826547
12,coex_TST,29,30,-0.10362361192285241
13,coex_PIT,29,33,-0.14226244648936515
14,coex_LVR,32,32,-0.3640392985151051
15,coex_THY,23,27,0.32275132275132234
16,coex_PNC,30,29,0.06832261835184061
17,coex_ATC,29,37,-0.2667118529187493
18,coex_BRO,26,30,0.22326007326007336
19,coex_SKN,27,29,0.029260171501551024
20,coex_ADS,25,26,-0.15638009049773727
21,coex_GEJ,28,30,0.040476190476190776
22,coex_BRB,21,25,-0.08070393374741203
23,coex_UTR,23,22,0.22529036004645775
24,coex_STM,33,31,-0.10593841642228741
25,coex_HRA,27,25,-0.36538461538461564
26,coex_PRS,28,25,-0.18040293040293065
27,coex_ATA,21,27,0.05527974783293965
28,coex_FIB,22,20,-0.2546536796536796
29,coex_BRC,26,24,-0.02108974358974347
30,coex_ATT,25,26,0.0005972288580982088
31,coex_TNV,17,17,-0.27907754010695207
32,coex_SPL,33,34,-0.13565195413307785
33,coex_LCL,17,20,0.28493292053663577
34,coex_CLS,25,33,-0.22162356321839116
35,coex_EMC,28,35,-0.01199512062889685
36,coex_CLT,24,36,0.19248385794995992
37,coex_core,32,39,-0.06387022957112287
38,coex_WBL,32,38,0.03693609022556377
39,co-essential,15,9,-0.3416666666666668
40,GOBP,17,21,1.3070054945054945
41,ppi,49,50,-0.10156256441970735
42,reactome_copathway,28,24,0.013095238095238049
43,MP,11,9,-0.9459064327485383
44,HP,29,42,0.016414579430606535
45,GI_net,22,21,-0.5999999999999999
46,gene_gene_on_CbG_name_mapped,17,15,-0.34362745098039227
47,gene_gene_on_GcG_name_mapped,31,28,-0.437953995157385
48,GOMF,1,6,
