,Layer,Orthostatic_hypotension nodes,Glaucoma nodes,sAB
0,coex_KDN,31,16,0.28577556623198364
1,coex_BST,20,13,0.1857808857808858
2,coex_OVR,23,14,0.02941917072351874
3,coex_LNG,23,13,0.11529171311779995
4,coex_ITI,31,19,0.22862478777589135
5,coex_VGN,28,16,0.5093344155844157
6,coex_HRV,11,5,-0.5534090909090907
7,coex_MSG,29,17,-0.026236881559220437
8,coex_ADV,21,7,-0.1253968253968254
9,coex_EMS,23,7,0.436781609195402
10,coex_SMU,19,6,0.20964912280701764
11,coex_ARG,23,6,0.20346320346320335
12,coex_TST,30,27,0.0905458089668616
13,coex_PIT,31,15,0.25423094904160837
14,coex_LVR,24,11,0.21580086580086588
15,coex_THY,21,6,0.7301587301587302
16,coex_PNC,25,9,0.5026143790849673
17,coex_ATC,25,8,0.26535714285714285
18,coex_BRO,31,19,0.3376673249945137
19,coex_SKN,22,13,0.09345654345654353
20,coex_ADS,19,7,0.2828571428571429
21,coex_GEJ,24,6,0.37484472049689455
22,coex_BRB,23,19,0.4614115706374453
23,coex_UTR,20,7,-0.23994708994709013
24,coex_STM,29,11,0.18581504702194396
25,coex_HRA,21,3,-0.1626794258373203
26,coex_PRS,18,12,0.2124695228143505
27,coex_ATA,25,4,0.9866666666666668
28,coex_FIB,18,8,0.3514957264957266
29,coex_BRC,24,14,0.2604949874686717
30,coex_ATT,22,6,0.804112554112554
31,coex_TNV,22,8,0.5404483430799223
32,coex_SPL,24,8,0.4283794162826422
33,coex_LCL,20,4,0.8555491990846682
34,coex_CLS,27,12,0.056980056980056926
35,coex_EMC,25,13,0.2724324324324323
36,coex_CLT,29,18,0.2387910654601777
37,coex_core,29,12,0.18690476190476168
38,coex_WBL,23,7,0.5776397515527947
39,co-essential,6,6,-0.2803030303030307
40,GOBP,17,23,1.8503787878787876
41,ppi,49,50,0.3944856730571016
42,reactome_copathway,20,16,0.9793650793650794
43,MP,15,31,1.2345878136200712
44,HP,40,49,1.0119983948635634
45,GI_net,23,16,0.32082917082917106
46,gene_gene_on_CbG_name_mapped,16,10,0.4995192307692309
47,gene_gene_on_GcG_name_mapped,31,29,-0.04934736021819597
48,GOMF,6,3,
