,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,32,33,-0.028814935064934932
1,coex_BST,24,23,0.023627580149319094
2,coex_OVR,16,27,-0.11068044788975007
3,coex_LNG,25,23,0.12442028985507259
4,coex_ITI,30,31,0.08298109010011112
5,coex_VGN,30,29,0.11252268602540827
6,coex_HRV,15,37,0.028759528759528585
7,coex_MSG,25,42,-0.01758351101634692
8,coex_ADV,22,23,0.10781730346947693
9,coex_EMS,22,30,0.5909090909090908
10,coex_SMU,21,32,-0.024553571428571175
11,coex_ARG,26,23,0.16079107228175538
12,coex_TST,31,34,0.002832181259600608
13,coex_PIT,33,25,0.12652037617554845
14,coex_LVR,21,21,-0.023809523809523725
15,coex_THY,23,27,0.5806958153193573
16,coex_PNC,30,14,0.19412303814869958
17,coex_ATC,25,34,0.05801595214356903
18,coex_BRO,42,27,0.17981038569273888
19,coex_SKN,22,27,0.10251322751322789
20,coex_ADS,19,22,-0.013131313131313327
21,coex_GEJ,23,22,0.3394902199250023
22,coex_BRB,34,18,0.2790346907993966
23,coex_UTR,17,21,0.05587498157157578
24,coex_STM,28,31,-0.004481371553542113
25,coex_HRA,24,39,-0.0064102564102561654
26,coex_PRS,20,39,0.0751086484137331
27,coex_ATA,20,19,-0.28947368421052655
28,coex_FIB,17,15,0.1812499999999999
29,coex_BRC,36,26,0.09961685823754829
30,coex_ATT,22,26,0.2136667680145936
31,coex_TNV,22,21,-0.10753911806543348
32,coex_SPL,21,25,0.17424430641821953
33,coex_LCL,12,17,0.036666666666666625
34,coex_CLS,30,29,0.17577132486388392
35,coex_EMC,22,23,0.1571835646658699
36,coex_CLT,25,27,-0.03914027149321275
37,coex_core,28,35,0.5236533957845433
38,coex_WBL,14,29,0.952832512315271
39,co-essential,7,9,-0.5019841269841274
40,GOBP,27,19,0.8779761904761907
41,ppi,49,50,0.2798165326736757
42,reactome_copathway,19,18,0.4086654016445288
43,MP,11,20,1.0919312169312172
44,HP,37,43,0.2867928975487115
45,GI_net,18,16,0.0015151515151514694
46,gene_gene_on_CbG_name_mapped,20,11,-0.05469208211143717
47,gene_gene_on_GcG_name_mapped,31,31,-0.08064516129032273
48,GOMF,6,1,
