,Layer,Bronchiolitis nodes,Encephalitis nodes,sAB
0,coex_KDN,35,37,-0.22450257098144433
1,coex_BST,20,22,-0.4304557124518613
2,coex_OVR,27,27,-0.20370370370370372
3,coex_LNG,35,34,0.07352941176470562
4,coex_ITI,32,34,-0.2705079550430596
5,coex_VGN,26,30,-0.3479853479853481
6,coex_HRV,19,20,-0.36842105263157876
7,coex_MSG,28,34,-0.2673488750338846
8,coex_ADV,21,27,-0.3968253968253972
9,coex_EMS,24,27,-0.37091787439613544
10,coex_SMU,24,22,-0.25164690382081667
11,coex_ARG,24,23,-0.2345436324390997
12,coex_TST,30,26,-0.07802197802197797
13,coex_PIT,31,34,-0.09976645745146673
14,coex_LVR,27,28,-0.3642736892736893
15,coex_THY,28,28,-0.3035714285714288
16,coex_PNC,22,20,-0.3453252032520324
17,coex_ATC,28,33,-0.28988151286880104
18,coex_BRO,30,34,-0.298287130944332
19,coex_SKN,27,28,-0.20165945165945165
20,coex_ADS,23,26,-0.6591870862057192
21,coex_GEJ,24,28,-0.4602272727272725
22,coex_BRB,23,24,-0.04347826086956541
23,coex_UTR,17,23,-0.1623803827751198
24,coex_STM,25,29,-0.1821730644111903
25,coex_HRA,24,21,-0.20649734802121555
26,coex_PRS,23,27,-0.07854050711193583
27,coex_ATA,24,28,-0.43498168498168477
28,coex_FIB,18,18,-0.28169934640522887
29,coex_BRC,22,28,-0.25987012987013003
30,coex_ATT,24,28,-0.22504578754578786
31,coex_TNV,16,16,-0.2999999999999998
32,coex_SPL,31,31,-0.38709677419354827
33,coex_LCL,21,20,-0.20313765182186216
34,coex_CLS,25,29,-0.2915964240102171
35,coex_EMC,29,32,-0.43455691509084127
36,coex_CLT,25,33,-0.2983630952380951
37,coex_core,34,36,-0.21907308377896628
38,coex_WBL,35,30,-0.1121936274509805
39,co-essential,6,8,0.1538461538461542
40,GOBP,18,13,-0.1730769230769229
41,ppi,49,50,-0.06982683982683979
42,reactome_copathway,26,20,-0.2760526315789473
43,MP,14,14,0.4472934472934469
44,HP,27,30,0.19103313840155955
45,GI_net,21,25,-0.6827777777777779
46,gene_gene_on_CbG_name_mapped,15,13,-0.37967032967032965
47,gene_gene_on_GcG_name_mapped,34,27,-0.285813779063538
48,GOMF,2,5,
