,Layer,Kidney_failure nodes,Intracranial_swelling nodes,sAB
0,coex_KDN,47,39,0.3238686516039786
1,coex_BST,26,28,0.3599999999999999
2,coex_OVR,28,34,0.06863423461784102
3,coex_LNG,29,31,0.019744788622638065
4,coex_ITI,32,38,0.03553062178588129
5,coex_VGN,31,32,0.0010576414595453443
6,coex_HRV,14,29,0.2859037514209932
7,coex_MSG,34,32,0.10940285204991085
8,coex_ADV,25,24,0.708333333333333
9,coex_EMS,27,28,0.2168229918229918
10,coex_SMU,22,31,0.03545343883140584
11,coex_ARG,27,32,0.06768070291777173
12,coex_TST,37,34,-0.031242302783313747
13,coex_PIT,32,34,0.028826871657754216
14,coex_LVR,30,37,0.09318181818181803
15,coex_THY,26,29,-0.09798534798534808
16,coex_PNC,27,31,-0.13929519829350046
17,coex_ATC,31,29,0.4033234398187924
18,coex_BRO,28,36,0.07804232804232791
19,coex_SKN,29,31,0.007060755336617763
20,coex_ADS,21,30,0.4447278911564627
21,coex_GEJ,27,27,0.16438208891039086
22,coex_BRB,19,26,0.1046248553088498
23,coex_UTR,25,22,-0.00920696324951642
24,coex_STM,30,36,0.4055555555555559
25,coex_HRA,25,32,0.10868663594470052
26,coex_PRS,25,27,-0.06644880174291945
27,coex_ATA,27,24,0.32039760348583846
28,coex_FIB,25,28,0.0943627450980391
29,coex_BRC,28,36,0.028273809523809312
30,coex_ATT,26,31,0.24901133349409177
31,coex_TNV,16,23,0.12479023646071674
32,coex_SPL,30,32,-0.11542338709677424
33,coex_LCL,17,27,0.09406976744186046
34,coex_CLS,34,34,0.0010641977279379766
35,coex_EMC,28,31,0.15500273373428097
36,coex_CLT,34,32,0.09375
37,coex_core,31,35,0.23032776328922377
38,coex_WBL,23,31,0.4547555971118382
39,co-essential,5,16,0.12083333333333357
40,GOBP,13,26,1.232927927927928
41,ppi,50,50,0.22999999999999998
42,reactome_copathway,12,15,0.045454545454545414
43,MP,16,7,0.6221590909090908
44,HP,47,36,0.9142669970662793
45,GI_net,13,21,0.11376858435681925
46,gene_gene_on_CbG_name_mapped,8,33,0.20662416851441257
47,gene_gene_on_GcG_name_mapped,32,31,0.04461885560675882
48,GOMF,1,9,
