,Layer,Bladder_neoplasm nodes,Cervical_cancer nodes,sAB
0,coex_KDN,36,38,-0.4390966308774529
1,coex_BST,21,32,-0.5677785265049413
2,coex_OVR,22,29,-0.4035589157293016
3,coex_LNG,27,35,-0.3280423280423279
4,coex_ITI,32,31,-0.3932811699948797
5,coex_VGN,28,37,-0.48859126984126977
6,coex_HRV,17,16,-1.03125
7,coex_MSG,29,34,-0.4717875656009529
8,coex_ADV,20,20,-0.20134952766531722
9,coex_EMS,24,28,-0.5059219339909875
10,coex_SMU,18,27,-0.4277777777777778
11,coex_ARG,20,26,-0.08682983682983658
12,coex_TST,28,33,-0.1783319139876518
13,coex_PIT,26,36,-0.47925282602701946
14,coex_LVR,25,33,-0.4375000000000002
15,coex_THY,23,32,-0.7886487154150199
16,coex_PNC,22,29,-0.34556518532177805
17,coex_ATC,22,30,-0.637077175697865
18,coex_BRO,24,28,-0.14354395604395576
19,coex_SKN,24,35,-0.6795197740112993
20,coex_ADS,20,26,-0.6318561872909703
21,coex_GEJ,24,29,-0.6343460682057893
22,coex_BRB,21,20,-0.6149122807017542
23,coex_UTR,17,23,-0.3148909913615794
24,coex_STM,25,32,-0.5027412280701755
25,coex_HRA,19,29,-0.5270381079798026
26,coex_PRS,24,33,-0.21818181818181825
27,coex_ATA,19,24,-0.40486026111791107
28,coex_FIB,23,30,-0.41666666666666674
29,coex_BRC,25,30,-0.24454545454545462
30,coex_ATT,16,26,-0.1030219780219781
31,coex_TNV,19,19,-0.6748458985301093
32,coex_SPL,23,30,-0.4475389663658733
33,coex_LCL,15,23,-0.5579285579285578
34,coex_CLS,24,30,-0.41574074074074074
35,coex_EMC,23,29,-0.374101814638899
36,coex_CLT,29,31,-0.42142857142857126
37,coex_core,31,34,-0.1811945933191761
38,coex_WBL,28,26,-0.6426248454550341
39,co-essential,10,17,-1.3139423076923071
40,GOBP,15,8,-0.33214285714285774
41,ppi,50,50,-0.17999999999999994
42,reactome_copathway,21,33,-0.06700180072028816
43,MP,9,7,-1.1666666666666674
44,HP,18,33,-0.326797385620915
45,GI_net,20,31,-0.256332767402377
46,gene_gene_on_CbG_name_mapped,20,20,-0.25
47,gene_gene_on_GcG_name_mapped,29,30,-0.18665497759594785
48,GOMF,4,7,-0.6666666666666667
