,Layer,Eczematoid_dermatitis nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,43,33,0.10503531556163148
1,coex_BST,19,23,0.09446843272260486
2,coex_OVR,32,27,0.21605265222849956
3,coex_LNG,33,23,0.32987483530961814
4,coex_ITI,30,31,0.214806980433633
5,coex_VGN,36,29,0.11795292829775583
6,coex_HRV,13,37,1.1338877338877338
7,coex_MSG,35,42,0.284903435058234
8,coex_ADV,21,23,0.5176188068756318
9,coex_EMS,27,30,0.3321995464852612
10,coex_SMU,25,32,0.275965909090909
11,coex_ARG,25,23,0.23913043478260843
12,coex_TST,31,34,0.04891513056835617
13,coex_PIT,26,25,0.0007088989441927929
14,coex_LVR,26,21,0.10735718182526721
15,coex_THY,28,27,0.5766244624940273
16,coex_PNC,23,14,-0.0026019808628503505
17,coex_ATC,28,34,0.8914678774735703
18,coex_BRO,24,27,0.21871794871794892
19,coex_SKN,34,27,0.3096182006500232
20,coex_ADS,27,22,0.38471449185734885
21,coex_GEJ,31,22,0.2854545454545456
22,coex_BRB,18,18,0.3553921568627447
23,coex_UTR,18,21,0.1587301587301586
24,coex_STM,26,31,0.1389578163771712
25,coex_HRA,19,39,0.3824282190888364
26,coex_PRS,28,39,0.28520857252200527
27,coex_ATA,26,19,0.016261808367071584
28,coex_FIB,18,15,0.27132352941176485
29,coex_BRC,18,26,0.22619047619047583
30,coex_ATT,27,26,0.36230769230769244
31,coex_TNV,16,21,0.4425837320574164
32,coex_SPL,33,25,0.34967607105538123
33,coex_LCL,17,17,0.039705882352941035
34,coex_CLS,26,29,-0.10778990040538483
35,coex_EMC,35,23,0.2795031055900623
36,coex_CLT,32,27,0.28008140699142414
37,coex_core,39,35,0.6441697191697191
38,coex_WBL,33,29,0.7334272001133486
39,co-essential,7,9,-0.225198412698413
40,GOBP,22,19,1.2316849816849813
41,ppi,50,50,0.2799999999999998
42,reactome_copathway,22,18,0.8194852941176469
43,MP,14,20,2.348193473193473
44,HP,44,43,0.8512126072270421
45,GI_net,19,16,-0.11212121212121229
46,gene_gene_on_CbG_name_mapped,7,11,0.2886002886002885
47,gene_gene_on_GcG_name_mapped,33,31,-0.047852517106549364
48,GOMF,6,1,
