,Layer,Sepsis nodes,Osteomyelitis nodes,sAB
0,coex_KDN,39,40,-0.31865871470301843
1,coex_BST,22,22,-0.3457414678344912
2,coex_OVR,30,27,-0.42298534798534826
3,coex_LNG,34,35,-0.26580086580086615
4,coex_ITI,34,38,-0.10739148239148233
5,coex_VGN,26,32,-0.33974358974358987
6,coex_HRV,24,20,-0.6577380952380949
7,coex_MSG,36,37,-0.23224937266033163
8,coex_ADV,32,29,-0.49636542957334884
9,coex_EMS,28,29,-0.5987706334802521
10,coex_SMU,29,24,-0.4310480373021035
11,coex_ARG,27,26,-0.39940170940170927
12,coex_TST,32,30,-0.20927419354838706
13,coex_PIT,33,33,-0.06060606060606055
14,coex_LVR,35,32,-0.3840797682709445
15,coex_THY,30,27,-0.04670680532749483
16,coex_PNC,29,29,0.0
17,coex_ATC,31,37,-0.26926179911254544
18,coex_BRO,33,30,-0.2046176046176047
19,coex_SKN,30,29,-0.3574517825832848
20,coex_ADS,26,26,-0.5192307692307692
21,coex_GEJ,27,30,-0.555945419103314
22,coex_BRB,30,25,-0.19939393939393968
23,coex_UTR,24,22,-0.33436853002070377
24,coex_STM,35,31,-0.06015919564306649
25,coex_HRA,28,25,-0.5453296703296702
26,coex_PRS,32,25,-0.24255952380952417
27,coex_ATA,31,27,-0.4355750487329433
28,coex_FIB,23,20,-0.02166329625884722
29,coex_BRC,29,24,-0.3413169594448062
30,coex_ATT,29,26,-0.39611314611314596
31,coex_TNV,19,17,-0.5294117647058822
32,coex_SPL,38,34,-0.21740626074991387
33,coex_LCL,22,20,-0.531453634085213
34,coex_CLS,28,33,-0.3202879786566224
35,coex_EMC,28,35,-0.25220249390078586
36,coex_CLT,31,36,-0.3453052694432006
37,coex_core,36,39,-0.09283625730994172
38,coex_WBL,32,38,-0.1474389097744362
39,co-essential,11,9,-0.7045454545454546
40,GOBP,11,21,-0.0952380952380949
41,ppi,50,50,-0.050000000000000044
42,reactome_copathway,30,24,0.09050903119868647
43,MP,8,9,-0.4180555555555556
44,HP,28,42,-0.048809523809523636
45,GI_net,24,21,-0.6719160768452983
46,gene_gene_on_CbG_name_mapped,18,15,-0.2459595959595957
47,gene_gene_on_GcG_name_mapped,33,28,-0.21990100063870544
48,GOMF,7,6,
