,Layer,Rhabdomyosarcoma nodes,Neoplasm_of_uterus nodes,sAB
0,coex_KDN,41,46,-0.2799911020099708
1,coex_BST,32,34,-0.4256628787878789
2,coex_OVR,30,31,-0.27932310946589123
3,coex_LNG,31,38,-0.2434487340370559
4,coex_ITI,41,43,-0.391256786322016
5,coex_VGN,37,35,-0.30392535392535414
6,coex_HRV,15,20,-0.29761904761904745
7,coex_MSG,40,41,-0.23588903944595008
8,coex_ADV,23,27,-0.23468599033816417
9,coex_EMS,30,37,-0.3484133387118462
10,coex_SMU,31,29,-0.26229143492769746
11,coex_ARG,28,26,-0.20564690026954158
12,coex_TST,42,39,-0.031949531949531984
13,coex_PIT,33,32,-0.1875
14,coex_LVR,31,32,-0.3502144137224783
15,coex_THY,25,32,-0.17980263157894738
16,coex_PNC,29,36,-0.44967672413793114
17,coex_ATC,33,35,-0.3162267839687196
18,coex_BRO,30,31,0.06424290498854202
19,coex_SKN,35,38,-0.3518339768339769
20,coex_ADS,23,31,-1.0284313725490197
21,coex_GEJ,29,35,-0.5466440886699506
22,coex_BRB,16,24,-0.8373760488176962
23,coex_UTR,31,30,-0.41566555431961416
24,coex_STM,35,39,-0.37944757944757956
25,coex_HRA,31,30,-0.22866208355367523
26,coex_PRS,31,35,-0.1711073872364195
27,coex_ATA,25,33,-0.1366626794258372
28,coex_FIB,31,30,-0.3666666666666665
29,coex_BRC,36,33,0.1277448397013614
30,coex_ATT,29,35,-0.30911330049261077
31,coex_TNV,21,20,-0.23684210526315752
32,coex_SPL,30,35,-0.29322344322344307
33,coex_LCL,29,24,-0.3551034311903878
34,coex_CLS,35,39,-0.3158202158202157
35,coex_EMC,32,38,-0.016588345864661624
36,coex_CLT,39,42,-0.3306199972866639
37,coex_core,36,39,-0.181068376068376
38,coex_WBL,32,38,-0.24363251879699255
39,co-essential,19,15,-0.35788831661696907
40,GOBP,11,9,-0.31428571428571406
41,ppi,50,49,-0.1919480519480521
42,reactome_copathway,23,31,-0.019288177839608123
43,MP,11,12,0.045454545454545414
44,HP,38,36,-0.022802732309774587
45,GI_net,30,30,-0.3265439314241185
46,gene_gene_on_CbG_name_mapped,10,13,-0.33729096989966556
47,gene_gene_on_GcG_name_mapped,36,31,-0.21470603969400304
48,GOMF,2,7,
