,Layer,Hepatic_encephalopathy nodes,Erysipelas nodes,sAB
0,coex_KDN,38,39,-0.12832343095500987
1,coex_BST,20,19,0.3241465149359888
2,coex_OVR,24,27,-0.029083350511922568
3,coex_LNG,31,35,-0.22417260159195695
4,coex_ITI,29,33,-0.14107546636517787
5,coex_VGN,23,30,-0.2376298481775152
6,coex_HRV,19,19,-0.14335388019598572
7,coex_MSG,27,33,0.09915824915824922
8,coex_ADV,29,30,0.10956486042692948
9,coex_EMS,27,28,-0.034472934472934647
10,coex_SMU,27,22,-0.024445131587988556
11,coex_ARG,24,24,-0.16666666666666696
12,coex_TST,31,33,-0.04458394428152479
13,coex_PIT,30,29,0.01699785700370149
14,coex_LVR,32,39,-0.019084055615745665
15,coex_THY,25,29,0.1203831417624519
16,coex_PNC,28,24,-0.1386250152234807
17,coex_ATC,29,32,-0.2165178571428572
18,coex_BRO,35,31,-0.006284038542103021
19,coex_SKN,30,31,0.0678239475123017
20,coex_ADS,24,28,-0.057179393496528785
21,coex_GEJ,28,32,0.15029761904761862
22,coex_BRB,26,22,-0.16436100131752296
23,coex_UTR,21,22,-0.10000000000000009
24,coex_STM,29,30,-0.13793103448275845
25,coex_HRA,25,22,-0.1867676767676767
26,coex_PRS,25,24,-0.27586339808819016
27,coex_ATA,28,30,-0.052709359605910944
28,coex_FIB,22,18,-0.27474747474747496
29,coex_BRC,29,22,-0.13321995464852643
30,coex_ATT,28,28,0.03240740740740744
31,coex_TNV,17,24,0.20624999999999982
32,coex_SPL,34,34,-0.23529411764705888
33,coex_LCL,17,15,-0.22573529411764692
34,coex_CLS,32,27,-0.01633502245293128
35,coex_EMC,24,31,-0.012882447665056418
36,coex_CLT,27,29,-0.2572944297082227
37,coex_core,35,36,-0.1189268461007591
38,coex_WBL,31,34,0.007174135162749895
39,co-essential,7,8,-0.2142857142857144
40,GOBP,18,18,0.418333333333333
41,ppi,49,50,0.021067821067821013
42,reactome_copathway,23,22,-0.27833761232349197
43,MP,14,18,0.13541666666666607
44,HP,34,34,0.20588235294117618
45,GI_net,29,22,-0.09098639455782287
46,gene_gene_on_CbG_name_mapped,30,12,0.17142857142857149
47,gene_gene_on_GcG_name_mapped,34,26,-0.057239819004524684
48,GOMF,8,8,
