,Layer,Prostatitis nodes,Cellulitis nodes,sAB
0,coex_KDN,36,42,-0.05402930402930406
1,coex_BST,18,22,-0.4325519681556833
2,coex_OVR,17,36,-0.03691014867485487
3,coex_LNG,28,37,-0.5159071513910227
4,coex_ITI,28,41,-0.09390756302520997
5,coex_VGN,23,40,-0.2323232323232325
6,coex_HRV,12,28,-0.04853479853479836
7,coex_MSG,28,43,-0.27742618501707916
8,coex_ADV,23,33,-0.19055134680134644
9,coex_EMS,20,33,-0.3784591194968554
10,coex_SMU,15,32,0.13911790780141842
11,coex_ARG,18,28,-0.09653209109730843
12,coex_TST,24,37,-0.1978658986855708
13,coex_PIT,25,38,-0.2641604010025065
14,coex_LVR,23,36,0.015771516618974468
15,coex_THY,25,35,0.1976190476190478
16,coex_PNC,18,32,-0.1741821728691475
17,coex_ATC,24,37,-0.18409392999556928
18,coex_BRO,22,37,-0.15246449456975775
19,coex_SKN,21,36,-0.11904761904761907
20,coex_ADS,18,34,0.1617647058823528
21,coex_GEJ,21,35,-0.40476190476190466
22,coex_BRB,14,31,0.08148479427549216
23,coex_UTR,18,24,0.05995475113122195
24,coex_STM,26,37,-0.34329555361813413
25,coex_HRA,19,29,0.2199396755522951
26,coex_PRS,20,34,-0.008076043453401738
27,coex_ATA,20,29,0.05641151055677884
28,coex_FIB,18,19,-0.37624466571835
29,coex_BRC,18,30,-0.03611111111111098
30,coex_ATT,18,34,0.07843137254901933
31,coex_TNV,12,27,-0.09446693657219951
32,coex_SPL,30,37,-0.2054659136748691
33,coex_LCL,18,22,-0.3345399698340874
34,coex_CLS,25,33,-0.4807105538140024
35,coex_EMC,27,39,-0.2926702926702929
36,coex_CLT,28,39,-0.18274524524524516
37,coex_core,32,44,-0.07984428539567334
38,coex_WBL,28,34,-0.3028598536188667
39,co-essential,6,7,-0.06428571428571406
40,GOBP,15,13,0.5833333333333335
41,ppi,50,50,0.13000000000000012
42,reactome_copathway,17,28,0.5663690476190477
43,MP,12,8,0.4098039215686273
44,HP,30,43,0.06366146331103306
45,GI_net,19,24,-0.15138888888888902
46,gene_gene_on_CbG_name_mapped,12,9,0.03968253968253954
47,gene_gene_on_GcG_name_mapped,27,28,-0.18279220779220773
48,GOMF,3,4,
