,Layer,Pulmonary_fibrosis nodes,Celiac_disease nodes,sAB
0,coex_KDN,33,32,-0.09375
1,coex_BST,13,17,0.1808446455505277
2,coex_OVR,19,23,-0.18644437179906292
3,coex_LNG,25,28,-0.10954177897574136
4,coex_ITI,29,29,-0.13793103448275867
5,coex_VGN,18,21,-0.06155093616393925
6,coex_HRV,23,14,0.01334776334776322
7,coex_MSG,27,28,-0.07401394901394909
8,coex_ADV,18,18,0.05555555555555536
9,coex_EMS,16,21,0.026388888888889017
10,coex_SMU,12,17,-0.11011904761904745
11,coex_ARG,12,14,0.06093544137022411
12,coex_TST,17,23,-0.12806905370843968
13,coex_PIT,23,21,-0.1850649350649347
14,coex_LVR,21,21,-0.049332171893147425
15,coex_THY,20,23,-0.0046511627906977715
16,coex_PNC,22,22,0.02041175878385193
17,coex_ATC,18,24,-0.07708333333333295
18,coex_BRO,19,24,0.10444716442268431
19,coex_SKN,15,21,-0.1714285714285717
20,coex_ADS,16,19,0.11960784313725492
21,coex_GEJ,20,22,0.07316017316017298
22,coex_BRB,18,16,-0.15134803921568585
23,coex_UTR,10,12,-0.28968253968253954
24,coex_STM,24,27,-0.35348583877995643
25,coex_HRA,17,18,0.10985060690943005
26,coex_PRS,20,23,-0.4818649885583528
27,coex_ATA,16,26,-0.25947467166979354
28,coex_FIB,14,17,0.3555841691515318
29,coex_BRC,18,20,-0.27149122807017534
30,coex_ATT,18,22,-0.25896805896805875
31,coex_TNV,10,17,0.03750000000000009
32,coex_SPL,18,31,-0.20898251773827825
33,coex_LCL,9,16,-0.5666666666666667
34,coex_CLS,18,21,-0.18742368742368765
35,coex_EMC,17,26,-0.04362101313320821
36,coex_CLT,25,23,-0.0489323157570154
37,coex_core,30,34,-0.023661512849122213
38,coex_WBL,23,29,0.10499999999999998
39,co-essential,8,5,1.0298076923076924
40,GOBP,10,18,-0.4068322981366461
41,ppi,50,49,-0.02158936301793446
42,reactome_copathway,28,19,0.16589315690727746
43,MP,15,15,-0.4666666666666668
44,HP,25,26,0.13398190045248848
45,GI_net,19,15,0.03429113580916221
46,gene_gene_on_CbG_name_mapped,12,11,0.4283596837944663
47,gene_gene_on_GcG_name_mapped,31,30,-0.08192314472060636
48,GOMF,4,15,-0.8
