,Layer,Gingivostomatitis nodes,Osteomyelitis nodes,sAB
0,coex_KDN,33,40,-0.32818078040680776
1,coex_BST,11,22,0.04470046082949297
2,coex_OVR,16,27,-0.367330586080586
3,coex_LNG,36,35,-0.06008403361344561
4,coex_ITI,27,38,-0.10360360360360366
5,coex_VGN,17,32,-0.09188569044639139
6,coex_HRV,21,20,0.6364468864468864
7,coex_MSG,34,37,0.034315591482120045
8,coex_ADV,27,29,-0.16849757269405918
9,coex_EMS,16,29,-0.45188452285485203
10,coex_SMU,13,24,-0.04861111111111116
11,coex_ARG,12,26,-0.1854954954954955
12,coex_TST,19,30,-0.24307196562835665
13,coex_PIT,21,33,-0.15773299028016008
14,coex_LVR,36,32,-0.24734477124182996
15,coex_THY,17,27,-0.408150128738364
16,coex_PNC,19,29,0.08235027223230507
17,coex_ATC,27,37,0.06256806256806247
18,coex_BRO,23,30,-0.06417828821438332
19,coex_SKN,18,29,-0.0007662835249044875
20,coex_ADS,20,26,0.12299331103678934
21,coex_GEJ,32,30,0.25490591397849505
22,coex_BRB,21,25,0.3233333333333337
23,coex_UTR,10,22,0.31712749615975433
24,coex_STM,32,31,0.21977406554019452
25,coex_HRA,20,25,-0.13888888888888884
26,coex_PRS,17,25,-0.24334733893557425
27,coex_ATA,27,27,0.20370370370370372
28,coex_FIB,13,20,-0.1361888111888112
29,coex_BRC,17,24,-0.04175633668101408
30,coex_ATT,19,26,-0.08980796821542869
31,coex_TNV,12,17,-0.3012170385395536
32,coex_SPL,34,34,0.014705882352941124
33,coex_LCL,14,20,-0.14097744360902253
34,coex_CLS,24,33,-0.06555065627563561
35,coex_EMC,29,35,0.1489906307350526
36,coex_CLT,24,36,0.11974789915966388
37,coex_core,36,39,0.07688764163930961
38,coex_WBL,35,38,0.07247914306313707
39,co-essential,5,9,-0.8285714285714283
40,GOBP,12,21,0.753968253968254
41,ppi,50,50,-0.10000000000000009
42,reactome_copathway,28,24,-0.2619047619047621
43,MP,11,9,-1.0904040404040405
44,HP,23,42,-0.07763178850135377
45,GI_net,24,21,-0.570803842264914
46,gene_gene_on_CbG_name_mapped,22,15,-0.30704340704340694
47,gene_gene_on_GcG_name_mapped,27,28,-0.4023208273208274
48,GOMF,4,6,
