,Layer,Intracranial_swelling nodes,Ulcerative_colitis nodes,sAB
0,coex_KDN,39,33,0.41240986589392814
1,coex_BST,28,15,0.32003663003662997
2,coex_OVR,34,21,0.21596921596921614
3,coex_LNG,31,30,0.3236606273134619
4,coex_ITI,38,35,0.36274509803921573
5,coex_VGN,32,24,0.13548387096774217
6,coex_HRV,29,22,1.2526436781609194
7,coex_MSG,32,33,0.375
8,coex_ADV,24,23,0.8510252852297255
9,coex_EMS,28,23,0.6039610389610393
10,coex_SMU,31,16,0.4910561084420042
11,coex_ARG,32,12,0.6595643939393936
12,coex_TST,34,22,0.29774637127578285
13,coex_PIT,34,25,0.11067444219066958
14,coex_LVR,37,31,0.3977272727272727
15,coex_THY,29,18,0.5805728088336783
16,coex_PNC,31,23,0.14290654567587024
17,coex_ATC,29,26,0.4925876010781671
18,coex_BRO,36,24,0.3791666666666669
19,coex_SKN,31,22,0.06946386946386918
20,coex_ADS,30,20,0.8299272116461367
21,coex_GEJ,27,28,0.2941678691678691
22,coex_BRB,26,21,0.11714046822742485
23,coex_UTR,22,11,-0.015151515151514694
24,coex_STM,36,32,0.28717320261437873
25,coex_HRA,32,22,0.380787476280835
26,coex_PRS,27,25,0.16296296296296298
27,coex_ATA,24,25,0.7694047619047617
28,coex_FIB,28,14,0.2624854819976772
29,coex_BRC,36,19,0.1100877192982459
30,coex_ATT,31,19,0.6897686025408349
31,coex_TNV,23,21,0.479107848673066
32,coex_SPL,32,30,0.15608198924731198
33,coex_LCL,27,15,0.43807692307692303
34,coex_CLS,34,27,0.3649203903441194
35,coex_EMC,31,25,0.39661290322580633
36,coex_CLT,32,30,0.3266499434708878
37,coex_core,35,31,0.5060502116479344
38,coex_WBL,31,30,0.42781597038603936
39,co-essential,16,11,1.0780723905723906
40,GOBP,26,16,2.1742084942084947
41,ppi,50,50,0.24999999999999978
42,reactome_copathway,15,17,0.03883116883116866
43,MP,7,16,0.6571428571428575
44,HP,36,22,0.6913967258794842
45,GI_net,21,23,-0.22219085262563487
46,gene_gene_on_CbG_name_mapped,33,9,0.3874458874458875
47,gene_gene_on_GcG_name_mapped,31,26,-0.09595794697662274
48,GOMF,9,7,
