,Layer,Orchitis nodes,Dystonic_disorder nodes,sAB
0,coex_KDN,30,30,0.2999999999999998
1,coex_BST,21,21,0.07500000000000018
2,coex_OVR,20,24,-0.012664307381192952
3,coex_LNG,30,26,0.14575757575757597
4,coex_ITI,27,29,0.054324028461959495
5,coex_VGN,24,29,0.0777759705053136
6,coex_HRV,11,10,1.2244588744588745
7,coex_MSG,28,24,0.09294871794871806
8,coex_ADV,22,23,0.22727272727272751
9,coex_EMS,20,23,0.11989383215369065
10,coex_SMU,20,18,0.017397660818713856
11,coex_ARG,17,27,0.4486036838978018
12,coex_TST,30,34,0.11262254901960778
13,coex_PIT,26,30,0.22728937728937737
14,coex_LVR,24,21,0.2692460317460319
15,coex_THY,23,18,0.2675857193354543
16,coex_PNC,20,19,0.07558479532163753
17,coex_ATC,26,25,0.13877828054298602
18,coex_BRO,25,27,0.4665242165242165
19,coex_SKN,23,22,0.26190476190476186
20,coex_ADS,23,18,0.3270259152612094
21,coex_GEJ,19,21,0.1437921727395408
22,coex_BRB,16,20,0.5104166666666665
23,coex_UTR,15,17,-0.0223637842233666
24,coex_STM,29,24,0.03244957709824359
25,coex_HRA,20,23,0.1780080889787663
26,coex_PRS,22,22,0.045454545454545414
27,coex_ATA,25,16,0.06673780487804848
28,coex_FIB,20,16,0.16388888888888875
29,coex_BRC,20,26,0.37341137123745805
30,coex_ATT,25,23,0.06833655705996122
31,coex_TNV,15,10,0.1499999999999999
32,coex_SPL,28,24,0.3098550724637681
33,coex_LCL,14,19,-0.0694444444444442
34,coex_CLS,25,28,0.08237196765498656
35,coex_EMC,28,19,0.08610899228748226
36,coex_CLT,25,25,0.054094202898550714
37,coex_core,30,23,0.21674870112113775
38,coex_WBL,25,21,0.1379710144927535
39,co-essential,5,6,1.1416666666666666
40,GOBP,14,29,2.1869047619047626
41,ppi,49,39,0.28858641358641357
42,reactome_copathway,22,18,1.9495184038527689
43,MP,17,8,1.5090909090909093
44,HP,35,40,1.0689285714285717
45,GI_net,20,19,-0.03512949039264823
46,gene_gene_on_CbG_name_mapped,8,14,0.18425324675324672
47,gene_gene_on_GcG_name_mapped,26,27,-0.0035074987905177046
48,GOMF,6,10,
