,Layer,Endometriosis nodes,Ascites nodes,sAB
0,coex_KDN,31,44,0.14456011730205276
1,coex_BST,19,34,0.2753820033955856
2,coex_OVR,18,29,0.2485668930240763
3,coex_LNG,19,32,0.4535119969040249
4,coex_ITI,26,37,0.09178959178959167
5,coex_VGN,18,32,0.2507906388361798
6,coex_HRV,17,15,0.22018162103551076
7,coex_MSG,27,39,-0.06772856772856772
8,coex_ADV,11,28,0.08745348219032412
9,coex_EMS,16,31,0.03333333333333277
10,coex_SMU,11,27,-0.017986886407939107
11,coex_ARG,14,26,0.17796896086369784
12,coex_TST,26,39,0.13205128205128203
13,coex_PIT,21,34,0.2979845626072044
14,coex_LVR,12,31,0.5463240810202548
15,coex_THY,20,30,-0.29234724742891727
16,coex_PNC,13,33,0.645217685540266
17,coex_ATC,12,35,0.1242147922998984
18,coex_BRO,19,28,0.008569500674763475
19,coex_SKN,15,35,-0.01238095238095216
20,coex_ADS,17,23,0.13088235294117645
21,coex_GEJ,15,29,0.28192497158014396
22,coex_BRB,10,20,0.24444444444444446
23,coex_UTR,14,26,0.22435897435897445
24,coex_STM,23,38,0.1497917995273288
25,coex_HRA,10,29,0.2531388152077807
26,coex_PRS,16,29,-0.031023854194585976
27,coex_ATA,12,28,-0.23690476190476195
28,coex_FIB,13,28,-0.3406258375770568
29,coex_BRC,15,28,-0.008693244739756523
30,coex_ATT,13,30,-0.09868236613400594
31,coex_TNV,15,13,0.34685314685314683
32,coex_SPL,19,37,0.48523391812865535
33,coex_LCL,8,29,-0.053571428571428825
34,coex_CLS,15,29,-0.0522988505747124
35,coex_EMC,18,38,0.07870370370370372
36,coex_CLT,19,32,0.048658743633276824
37,coex_core,21,38,0.5094476055002368
38,coex_WBL,16,33,0.21439393939393936
39,co-essential,4,10,0.3611111111111107
40,GOBP,15,29,0.22443019943019982
41,ppi,50,49,0.1615460729746443
42,reactome_copathway,18,18,0.4495967741935485
43,MP,15,12,1.2006993006993003
44,HP,17,43,0.20651917543280351
45,GI_net,15,23,0.03391053391053411
46,gene_gene_on_CbG_name_mapped,15,10,0.4833333333333334
47,gene_gene_on_GcG_name_mapped,28,32,0.02842261904761889
48,GOMF,11,4,
