,Layer,Periodontitis nodes,Otitis_media nodes,sAB
0,coex_KDN,37,35,-0.02675070028011195
1,coex_BST,22,27,-0.19095744680851068
2,coex_OVR,30,32,-0.16038306451612883
3,coex_LNG,30,43,-0.032372305405118595
4,coex_ITI,33,32,-0.22907196969696964
5,coex_VGN,29,30,-0.030295566502463123
6,coex_HRV,20,21,-0.29663182346109185
7,coex_MSG,33,42,-0.13781186951918656
8,coex_ADV,29,29,-0.28571428571428537
9,coex_EMS,25,27,-0.09136710239651391
10,coex_SMU,24,27,-0.08322061191626418
11,coex_ARG,26,21,-0.3595588808354768
12,coex_TST,29,35,0.14022475369458132
13,coex_PIT,29,36,-0.19582820197044337
14,coex_LVR,32,32,-0.09395001280081927
15,coex_THY,23,32,-0.05459624887690939
16,coex_PNC,30,27,-0.24697802197802243
17,coex_ATC,29,34,-0.1598007018899512
18,coex_BRO,26,35,0.044268476621418085
19,coex_SKN,27,31,-0.10019493177387906
20,coex_ADS,25,30,-0.2306199460916445
21,coex_GEJ,28,35,-0.12549019607843137
22,coex_BRB,21,30,-0.0022331691297208245
23,coex_UTR,23,19,0.2805555555555559
24,coex_STM,33,33,-0.16666666666666652
25,coex_HRA,27,26,-0.29224358974358977
26,coex_PRS,28,34,-0.11578341013824867
27,coex_ATA,21,31,-0.11999999999999966
28,coex_FIB,22,24,-0.2647123407992975
29,coex_BRC,26,29,-0.03773812394502052
30,coex_ATT,25,29,-0.39851228232037816
31,coex_TNV,17,22,-0.2431220095693778
32,coex_SPL,33,31,-0.2389418377321606
33,coex_LCL,17,19,-0.1587301587301586
34,coex_CLS,25,30,-0.18228150075905436
35,coex_EMC,28,33,-0.2905578028528846
36,coex_CLT,24,33,0.06688596491228083
37,coex_core,32,36,-0.0944560815528559
38,coex_WBL,32,30,0.265324858757062
39,co-essential,15,8,-0.3471014492753626
40,GOBP,17,14,1.3621794871794872
41,ppi,49,49,-0.04081632653061229
42,reactome_copathway,28,26,0.10372093023255813
43,MP,11,14,-0.6547619047619047
44,HP,29,35,0.22234296017257482
45,GI_net,22,26,-0.5570234113712373
46,gene_gene_on_CbG_name_mapped,17,8,0.07470588235294118
47,gene_gene_on_GcG_name_mapped,31,26,-0.1929824561403508
48,GOMF,1,6,
