,Layer,Primary_dilated_cardiomyopathy nodes,Strabismus nodes,sAB
0,coex_KDN,33,21,0.24900099900099937
1,coex_BST,23,12,-0.016042780748663166
2,coex_OVR,27,13,0.39629629629629637
3,coex_LNG,23,15,0.16117467581998435
4,coex_ITI,31,22,-0.02758258175178452
5,coex_VGN,29,21,0.36652604548789425
6,coex_HRV,37,5,-0.3225225225225228
7,coex_MSG,42,22,0.2714420995670994
8,coex_ADV,23,8,0.3258239831697054
9,coex_EMS,30,13,0.16923076923076907
10,coex_SMU,32,14,0.29901175213675213
11,coex_ARG,23,15,0.3641514184992447
12,coex_TST,34,25,-0.02529761904761929
13,coex_PIT,25,25,-0.0179081632653062
14,coex_LVR,21,9,0.1587301587301586
15,coex_THY,27,10,0.7780219780219779
16,coex_PNC,14,12,0.03296703296703285
17,coex_ATC,34,11,0.8158348187759952
18,coex_BRO,27,24,0.09121794871794897
19,coex_SKN,27,20,0.3735618597320727
20,coex_ADS,22,9,-0.3534538937764746
21,coex_GEJ,22,11,-0.09604105571847521
22,coex_BRB,18,20,0.23991228070175463
23,coex_UTR,21,13,0.03706097823744914
24,coex_STM,31,15,-0.08131080389144896
25,coex_HRA,39,13,0.1308446455505281
26,coex_PRS,39,14,0.4467827769714563
27,coex_ATA,19,12,-0.08245614035087723
28,coex_FIB,15,12,-0.07222222222222241
29,coex_BRC,26,21,0.2150793650793652
30,coex_ATT,26,12,-0.10149572649572658
31,coex_TNV,21,12,0.2585450695704776
32,coex_SPL,25,12,0.45018018018018013
33,coex_LCL,17,9,0.15277777777777768
34,coex_CLS,29,18,0.053256704980842784
35,coex_EMC,23,16,-0.0014492753623187582
36,coex_CLT,27,21,0.04498869924401849
37,coex_core,35,15,0.5963525835866261
38,coex_WBL,29,10,1.1595785440613025
39,co-essential,9,9,0.5158730158730158
40,GOBP,19,15,0.9285714285714288
41,ppi,50,50,0.26
42,reactome_copathway,18,8,0.388235294117647
43,MP,20,14,1.3015734265734262
44,HP,43,50,0.7320755188797199
45,GI_net,16,17,-0.08021346469622337
46,gene_gene_on_CbG_name_mapped,11,10,-0.015367965367965475
47,gene_gene_on_GcG_name_mapped,31,32,-0.11359927035330264
48,GOMF,1,4,
