,Layer,Prostatitis nodes,Sepsis nodes,sAB
0,coex_KDN,36,39,-0.3215384615384618
1,coex_BST,18,22,-0.425510763746058
2,coex_OVR,17,30,-0.3144138506466414
3,coex_LNG,28,34,-0.4306397306397307
4,coex_ITI,28,34,-0.3691274572422112
5,coex_VGN,23,26,-0.21095571095571097
6,coex_HRV,12,24,-0.4172619047619044
7,coex_MSG,28,36,-0.19394841269841256
8,coex_ADV,23,32,-0.3433291245791241
9,coex_EMS,20,28,-0.426190476190476
10,coex_SMU,15,29,-0.2774817136886103
11,coex_ARG,18,27,-0.31666666666666665
12,coex_TST,24,32,-0.07440476190476186
13,coex_PIT,25,33,-0.20710553814002108
14,coex_LVR,23,35,-0.17891388530333763
15,coex_THY,25,30,0.14482758620689662
16,coex_PNC,18,29,-0.1688420495634535
17,coex_ATC,24,31,-0.37037037037037046
18,coex_BRO,22,33,-0.25276575276575297
19,coex_SKN,21,30,-0.21904761904761916
20,coex_ADS,18,26,-0.2594970009470696
21,coex_GEJ,21,27,-0.16236772486772466
22,coex_BRB,14,30,-0.14448419797256995
23,coex_UTR,18,24,-0.2325944870701906
24,coex_STM,26,35,0.06047619047619035
25,coex_HRA,19,28,-0.2162698412698414
26,coex_PRS,20,32,0.03125
27,coex_ATA,20,31,-0.26111111111111107
28,coex_FIB,18,23,-0.14050901378579006
29,coex_BRC,18,29,-0.4295875112089349
30,coex_ATT,18,29,-0.2530345471521942
31,coex_TNV,12,19,0.24019607843137258
32,coex_SPL,30,38,-0.324922600619195
33,coex_LCL,18,22,-0.29507592510688485
34,coex_CLS,25,28,-0.40660968660968666
35,coex_EMC,27,28,-0.256914381914382
36,coex_CLT,28,31,-0.26331873745666856
37,coex_core,32,36,0.010746001176911157
38,coex_WBL,28,32,-0.15044642857142887
39,co-essential,6,11,0.07045454545454533
40,GOBP,15,11,0.5253623188405792
41,ppi,50,50,0.010000000000000009
42,reactome_copathway,17,30,0.03215216519647157
43,MP,12,8,-0.3402777777777781
44,HP,30,28,-0.0712233169129719
45,GI_net,19,24,-0.44853894191115806
46,gene_gene_on_CbG_name_mapped,12,18,-0.19444444444444442
47,gene_gene_on_GcG_name_mapped,27,33,-0.030303030303030498
48,GOMF,3,7,
