,Layer,Low_back_pain nodes,Alcohol_dependence nodes,sAB
0,coex_KDN,35,12,0.16499493414387034
1,coex_BST,25,7,0.23017857142857134
2,coex_OVR,28,11,0.006327006327006224
3,coex_LNG,36,13,0.48269230769230775
4,coex_ITI,32,20,0.06265022137887422
5,coex_VGN,31,18,0.33333333333333326
6,coex_HRV,22,7,-0.33139274518584827
7,coex_MSG,34,14,0.14198179271708655
8,coex_ADV,25,9,0.0
9,coex_EMS,28,10,0.6018518518518521
10,coex_SMU,27,4,-0.16382915173237755
11,coex_ARG,22,11,0.3159090909090909
12,coex_TST,31,18,0.3660851437349133
13,coex_PIT,32,12,0.3243371212121211
14,coex_LVR,31,9,0.3179211469534047
15,coex_THY,26,8,0.5578030303030301
16,coex_PNC,29,8,0.12063140726933819
17,coex_ATC,26,7,0.23359973359973374
18,coex_BRO,33,20,0.20754716981132093
19,coex_SKN,26,9,-0.12967032967032965
20,coex_ADS,22,6,0.47943722943722955
21,coex_GEJ,29,10,0.6076421248835042
22,coex_BRB,23,15,0.17539682539682566
23,coex_UTR,22,9,0.04578038449006172
24,coex_STM,30,15,0.13888888888888884
25,coex_HRA,27,6,0.3333333333333335
26,coex_PRS,32,9,0.311648745519713
27,coex_ATA,26,6,0.40666666666666673
28,coex_FIB,25,5,0.6599999999999997
29,coex_BRC,25,15,-0.19333333333333336
30,coex_ATT,25,9,0.29032679738562095
31,coex_TNV,24,9,-0.09206349206349218
32,coex_SPL,31,9,-0.15385304659498233
33,coex_LCL,19,4,-0.3809523809523805
34,coex_CLS,31,13,0.3428571428571425
35,coex_EMC,27,8,0.014705882352941124
36,coex_CLT,30,13,0.09732221801187335
37,coex_core,34,13,0.01868686868686842
38,coex_WBL,32,10,0.2059523809523811
39,co-essential,5,3,0.2666666666666666
40,GOBP,16,22,2.096320346320346
41,ppi,50,47,0.25460627330554964
42,reactome_copathway,24,10,0.9113181504485848
43,MP,13,15,0.7948717948717952
44,HP,32,10,0.21006944444444442
45,GI_net,23,12,0.16179653679653683
46,gene_gene_on_CbG_name_mapped,12,26,0.2629892037786774
47,gene_gene_on_GcG_name_mapped,29,27,-0.10524995438788554
48,GOMF,5,9,
