,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Atonic_seizure nodes,sAB
0,coex_KDN,32,35,-0.960061300639659
1,coex_BST,24,22,-0.8167701863354038
2,coex_OVR,16,20,-0.7722222222222221
3,coex_LNG,25,23,-0.8529347826086955
4,coex_ITI,30,29,-0.3620689655172413
5,coex_VGN,30,27,-0.692982456140351
6,coex_HRV,15,16,-1.0315860215053767
7,coex_MSG,25,28,-0.5548382749326144
8,coex_ADV,22,20,-0.651948051948052
9,coex_EMS,22,21,-0.8827896909292259
10,coex_SMU,21,21,-0.8571428571428572
11,coex_ARG,26,22,-0.7536421911421913
12,coex_TST,31,34,-0.4566121734053423
13,coex_PIT,33,33,-0.6060606060606062
14,coex_LVR,21,26,-0.7062193126022915
15,coex_THY,23,22,-1.1590250329380765
16,coex_PNC,30,24,-0.8131235090002167
17,coex_ATC,25,29,-0.9503959131545339
18,coex_BRO,42,39,-0.7211779448621554
19,coex_SKN,22,25,-0.8019883485309018
20,coex_ADS,19,22,-1.1736874236874235
21,coex_GEJ,23,24,-1.0703933747412009
22,coex_BRB,34,26,-0.5619909502262443
23,coex_UTR,17,16,-1.0579322638146165
24,coex_STM,28,27,-0.6006132756132756
25,coex_HRA,24,26,-0.6934013605442175
26,coex_PRS,20,21,-0.9537456445993031
27,coex_ATA,20,24,-1.1728728936966923
28,coex_FIB,17,19,-0.5818713450292397
29,coex_BRC,36,36,-0.7476190476190477
30,coex_ATT,22,23,-0.8863636363636362
31,coex_TNV,22,22,-0.5904528763769892
32,coex_SPL,21,25,-0.5796687370600415
33,coex_LCL,12,15,-0.3759157509157509
34,coex_CLS,30,28,-0.5713875205254515
35,coex_EMC,22,24,-0.8078063241106719
36,coex_CLT,25,31,-0.5560606060606061
37,coex_core,28,26,-0.5740740740740742
38,coex_WBL,14,19,-0.610161768056505
39,co-essential,7,8,-1.9464285714285716
40,GOBP,27,17,-1.1877989000478242
41,ppi,49,50,-0.6671531642960213
42,reactome_copathway,19,23,-0.49968664316490385
43,MP,11,8,-0.6696428571428577
44,HP,37,35,-0.5592342342342341
45,GI_net,18,19,-0.7824798482693218
46,gene_gene_on_CbG_name_mapped,20,29,-0.33191414496833216
47,gene_gene_on_GcG_name_mapped,31,30,-0.6744932134673014
48,GOMF,6,0,
