,Layer,Cardiomyopathy nodes,Renovascular_hypertension nodes,sAB
0,coex_KDN,31,43,0.07982401005656814
1,coex_BST,14,24,-0.3254154775893907
2,coex_OVR,17,26,-0.043417366946779
3,coex_LNG,22,29,0.3467323481116589
4,coex_ITI,25,34,-0.1917258282623393
5,coex_VGN,22,30,0.06689976689976707
6,coex_HRV,25,19,0.6086274509803924
7,coex_MSG,30,38,0.25732714138286905
8,coex_ADV,16,22,0.21384111384111426
9,coex_EMS,19,24,0.23115079365079394
10,coex_SMU,15,26,0.4266416510318951
11,coex_ARG,14,26,-0.07295546558704435
12,coex_TST,28,28,-0.02046657046657052
13,coex_PIT,20,32,-0.1829326923076926
14,coex_LVR,19,30,-0.11505595886267383
15,coex_THY,16,24,0.4694444444444441
16,coex_PNC,17,26,0.07750184152372963
17,coex_ATC,29,27,0.49395639481846354
18,coex_BRO,24,28,0.2355769230769229
19,coex_SKN,22,28,0.19982993197278898
20,coex_ADS,23,23,-0.2916996047430831
21,coex_GEJ,20,19,0.2560455192034139
22,coex_BRB,19,24,0.09511278195488693
23,coex_UTR,9,19,0.40016708437761084
24,coex_STM,25,28,-0.40176549865229116
25,coex_HRA,26,22,0.4108510638297873
26,coex_PRS,20,24,-0.026621787025703725
27,coex_ATA,18,23,0.19292929292929317
28,coex_FIB,12,20,0.2583732057416266
29,coex_BRC,18,29,-0.19464824325425956
30,coex_ATT,23,27,0.25048100048100075
31,coex_TNV,22,18,-0.6676767676767676
32,coex_SPL,17,28,0.2556022408963585
33,coex_LCL,11,20,0.5884990253411306
34,coex_CLS,19,27,-0.08209546444840621
35,coex_EMC,19,29,0.027714761040532387
36,coex_CLT,21,33,0.039965694682675856
37,coex_core,29,34,0.20273554978783004
38,coex_WBL,25,22,0.5822510822510822
39,co-essential,4,7,0.20000000000000018
40,GOBP,16,9,1.616111111111111
41,ppi,48,50,0.03933673469387755
42,reactome_copathway,21,17,-0.03388372893016811
43,MP,19,8,-0.05698412698412758
44,HP,34,30,0.19773284313725492
45,GI_net,17,17,-0.028799019607843146
46,gene_gene_on_CbG_name_mapped,14,22,0.0043290043290042934
47,gene_gene_on_GcG_name_mapped,24,39,0.0644078144078144
48,GOMF,2,1,
