,Layer,Sinusitis nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,39,40,0.029166666666666785
1,coex_BST,21,23,0.18497082627517414
2,coex_OVR,26,23,-0.10619565217391314
3,coex_LNG,41,30,0.23418168964298358
4,coex_ITI,34,40,0.04447535771065203
5,coex_VGN,27,29,0.058186640945261825
6,coex_HRV,21,19,-0.0885930047694754
7,coex_MSG,35,31,-0.06666666666666665
8,coex_ADV,23,25,0.36225296442687727
9,coex_EMS,19,23,-0.028495150920780254
10,coex_SMU,26,23,0.11105072463768106
11,coex_ARG,19,19,-0.26315789473684204
12,coex_TST,36,32,0.034313725490195957
13,coex_PIT,31,26,0.06425953079178881
14,coex_LVR,26,26,-0.09879336349924595
15,coex_THY,33,31,-0.0359695747800588
16,coex_PNC,25,27,-0.09484330484330528
17,coex_ATC,33,24,-0.0192923019009974
18,coex_BRO,32,25,0.09589912280701762
19,coex_SKN,27,25,-0.15923076923076906
20,coex_ADS,30,21,0.17556650246305416
21,coex_GEJ,29,25,0.12244839118902107
22,coex_BRB,28,21,-0.16203703703703698
23,coex_UTR,18,21,0.02258852258852251
24,coex_STM,33,32,0.24476252913752905
25,coex_HRA,19,23,-0.029044420878991062
26,coex_PRS,26,27,-0.0769230769230771
27,coex_ATA,25,18,-0.12499999999999956
28,coex_FIB,19,24,-0.3250713994288048
29,coex_BRC,22,25,-0.09115612648221338
30,coex_ATT,29,24,-0.11962288086725836
31,coex_TNV,19,17,-0.17769607843137303
32,coex_SPL,32,32,0.140625
33,coex_LCL,23,20,0.13017855058933359
34,coex_CLS,28,34,0.06872294372294374
35,coex_EMC,33,32,-0.12805474095796665
36,coex_CLT,31,38,-0.016436740345658896
37,coex_core,35,37,-0.06974789915966384
38,coex_WBL,35,30,-0.17778633004926103
39,co-essential,5,4,-0.2055555555555557
40,GOBP,18,23,1.8607954545454546
41,ppi,48,50,0.18513605442176884
42,reactome_copathway,18,22,0.4514688940092164
43,MP,13,17,1.1327300150829562
44,HP,44,35,0.26575702778234445
45,GI_net,23,25,0.10869565217391308
46,gene_gene_on_CbG_name_mapped,8,10,-0.1499999999999999
47,gene_gene_on_GcG_name_mapped,24,32,0.060267857142857206
48,GOMF,4,8,
