,Layer,Nephrotic_syndrome nodes,Kidney_damage nodes,sAB
0,coex_KDN,43,46,-0.5511667670215061
1,coex_BST,22,25,-0.12820116054158626
2,coex_OVR,31,31,-0.82258064516129
3,coex_LNG,33,40,-0.4593750000000001
4,coex_ITI,39,36,-0.5386001386001387
5,coex_VGN,32,37,-0.48550724637681175
6,coex_HRV,18,22,-0.3858585858585857
7,coex_MSG,35,38,-0.5715882171181379
8,coex_ADV,26,29,-0.7259705811429948
9,coex_EMS,20,29,-0.046589688506982085
10,coex_SMU,26,26,-0.6346153846153844
11,coex_ARG,23,30,-0.6459201717822409
12,coex_TST,38,39,-0.4549879944616786
13,coex_PIT,31,33,-0.37756598240469197
14,coex_LVR,36,32,-0.4139093137254901
15,coex_THY,25,31,-0.7766359447004609
16,coex_PNC,25,29,-0.326339188896118
17,coex_ATC,30,36,-0.46944444444444455
18,coex_BRO,29,33,-0.4119650840962319
19,coex_SKN,29,30,-0.6815980629539948
20,coex_ADS,22,23,-0.7272727272727275
21,coex_GEJ,20,29,-0.49038461538461564
22,coex_BRB,27,30,-0.5868682722131
23,coex_UTR,25,27,-0.5384615384615383
24,coex_STM,34,38,-0.47381320949432415
25,coex_HRA,26,28,-0.4738751814223512
26,coex_PRS,28,29,-0.5735951468710088
27,coex_ATA,30,29,-0.3405993431855503
28,coex_FIB,23,26,-0.186400742115028
29,coex_BRC,28,33,-0.5008917729204614
30,coex_ATT,28,31,-0.924049513704686
31,coex_TNV,17,17,-0.9705882352941173
32,coex_SPL,37,35,-0.5385564135564136
33,coex_LCL,15,20,-0.3624434389140272
34,coex_CLS,33,33,-0.41145833333333326
35,coex_EMC,28,31,-0.3738543628374138
36,coex_CLT,35,33,-0.4213618449861336
37,coex_core,35,40,-0.39168386652906784
38,coex_WBL,28,28,-0.3392857142857142
39,co-essential,6,10,0.23194444444444473
40,GOBP,14,21,-0.1674208144796383
41,ppi,50,50,-0.27
42,reactome_copathway,30,23,-0.2062337662337661
43,MP,14,16,-1.0053571428571428
44,HP,40,45,-0.44109477124182983
45,GI_net,17,16,-0.39053605313092987
46,gene_gene_on_CbG_name_mapped,9,15,-0.5805555555555555
47,gene_gene_on_GcG_name_mapped,28,35,-0.5023809523809524
48,GOMF,2,4,
