,Layer,Pyelonephritis nodes,Duodenal_ulcer nodes,sAB
0,coex_KDN,40,32,-0.25119047619047596
1,coex_BST,27,19,0.041181041181041156
2,coex_OVR,29,23,0.03164938509766113
3,coex_LNG,31,29,0.06870596959584763
4,coex_ITI,37,29,-0.10317998249032723
5,coex_VGN,32,26,0.13186813186813184
6,coex_HRV,24,19,-0.2053571428571428
7,coex_MSG,33,29,0.04221862675700261
8,coex_ADV,31,23,-0.044309386525375416
9,coex_EMS,25,18,0.30555555555555536
10,coex_SMU,25,14,-0.017875457875457634
11,coex_ARG,25,19,0.1093779904306218
12,coex_TST,30,31,-0.14744403313943222
13,coex_PIT,37,21,-0.2962765721386409
14,coex_LVR,36,27,-0.18716931216931232
15,coex_THY,25,17,0.06577030812324924
16,coex_PNC,28,22,-0.23548409262695014
17,coex_ATC,31,25,0.16783216783216792
18,coex_BRO,31,28,-0.22742716550808417
19,coex_SKN,28,23,0.24350649350649345
20,coex_ADS,23,25,-0.1840579710144925
21,coex_GEJ,29,18,0.15251382604323815
22,coex_BRB,22,22,-0.0909090909090906
23,coex_UTR,22,13,0.06573083778966149
24,coex_STM,31,25,-0.12375576036866365
25,coex_HRA,27,20,-0.4702341137123742
26,coex_PRS,24,21,-0.41932367149758454
27,coex_ATA,30,21,0.1981792717086832
28,coex_FIB,22,17,-0.14578349282296643
29,coex_BRC,25,24,-0.1020408163265305
30,coex_ATT,28,18,0.3323643410852717
31,coex_TNV,19,19,0.07309941520467822
32,coex_SPL,29,20,-0.2669071076706544
33,coex_LCL,18,14,-0.11242884250474372
34,coex_CLS,33,25,-0.04551564027370514
35,coex_EMC,30,20,0.22642886942010865
36,coex_CLT,33,22,-0.03872053872053871
37,coex_core,38,31,-0.1954459203036052
38,coex_WBL,29,30,-0.08661740558292297
39,co-essential,5,6,-0.19166666666666687
40,GOBP,12,14,0.16558441558441572
41,ppi,50,49,-0.09984745413316864
42,reactome_copathway,15,22,-0.22058823529411775
43,MP,15,8,0.08012820512820529
44,HP,16,24,-0.02083333333333348
45,GI_net,27,21,-0.19801652248460777
46,gene_gene_on_CbG_name_mapped,14,15,-0.06683087027914603
47,gene_gene_on_GcG_name_mapped,32,33,-0.15500437062937067
48,GOMF,1,7,
