,Layer,Parkinson_disease nodes,Huntington_disease nodes,sAB
0,coex_KDN,40,35,-0.05607142857142833
1,coex_BST,25,24,-0.19518963922294152
2,coex_OVR,32,23,-0.26912887642200456
3,coex_LNG,34,30,0.036002886002886036
4,coex_ITI,37,38,-0.1331294452347085
5,coex_VGN,31,30,-0.06666666666666643
6,coex_HRV,22,18,-0.5761003702180174
7,coex_MSG,35,30,-0.10329670329670337
8,coex_ADV,27,21,0.037039201932818955
9,coex_EMS,32,29,-0.5214633973996605
10,coex_SMU,27,24,-0.09422657952069713
11,coex_ARG,32,27,-0.08103654266056948
12,coex_TST,35,31,-0.22010892333472976
13,coex_PIT,35,32,-0.11011460554371011
14,coex_LVR,34,25,-0.17186443542934393
15,coex_THY,26,28,0.08720797720797746
16,coex_PNC,30,25,0.30969696969697
17,coex_ATC,33,26,-0.1379937304075236
18,coex_BRO,37,33,0.01127881127881114
19,coex_SKN,33,31,-0.048387096774193505
20,coex_ADS,27,25,-0.5097092348645145
21,coex_GEJ,27,28,-0.39365634365634383
22,coex_BRB,23,22,-0.08490899898887738
23,coex_UTR,25,20,0.09166666666666634
24,coex_STM,31,32,-0.15894617255504362
25,coex_HRA,28,25,-0.1783769063180829
26,coex_PRS,27,23,-0.09629370629370615
27,coex_ATA,27,24,-0.008886946386946093
28,coex_FIB,23,24,-0.08466312056737557
29,coex_BRC,37,30,-0.18777732956837445
30,coex_ATT,33,27,0.08139124293785338
31,coex_TNV,26,20,-0.18749999999999956
32,coex_SPL,34,26,0.04766214177978911
33,coex_LCL,19,19,-0.32352941176470584
34,coex_CLS,36,31,0.13510101010101017
35,coex_EMC,27,27,-0.09259259259259234
36,coex_CLT,33,34,-0.1212121212121211
37,coex_core,37,32,-0.026245915032680145
38,coex_WBL,31,27,0.08155151814773598
39,co-essential,7,7,-1.071428571428572
40,GOBP,15,7,0.0595238095238102
41,ppi,49,48,-0.001757661827617385
42,reactome_copathway,21,15,-0.36376368729309894
43,MP,12,11,0.2232323232323239
44,HP,31,29,-0.10027808676307015
45,GI_net,19,16,-0.38118580765639587
46,gene_gene_on_CbG_name_mapped,21,19,-0.18051378446115307
47,gene_gene_on_GcG_name_mapped,32,37,-0.08897620446533505
48,GOMF,3,4,
