,Layer,Head_and_neck_cancer nodes,Macular_degeneration nodes,sAB
0,coex_KDN,40,31,0.0898000908677874
1,coex_BST,29,19,-0.07607380520266172
2,coex_OVR,34,26,-0.2588319810682893
3,coex_LNG,38,27,0.12249962513120405
4,coex_ITI,35,33,-0.1330150241914949
5,coex_VGN,39,29,-0.12635995844951076
6,coex_HRV,16,15,0.004233870967742082
7,coex_MSG,40,31,0.07865174920490703
8,coex_ADV,22,23,-0.24620114185331587
9,coex_EMS,28,24,0.05723443223443203
10,coex_SMU,24,23,-0.10505319148936176
11,coex_ARG,30,23,-0.18973200565492654
12,coex_TST,36,34,-0.119327731092437
13,coex_PIT,31,29,-0.23426028921023345
14,coex_LVR,36,29,-0.13491747715885638
15,coex_THY,36,22,-0.021428571428571352
16,coex_PNC,32,25,-0.24032738095238138
17,coex_ATC,32,26,-0.17625484306299266
18,coex_BRO,32,28,0.04200015693659753
19,coex_SKN,36,29,-0.22862511052166234
20,coex_ADS,25,24,-0.4658880666049954
21,coex_GEJ,34,23,-0.30032467532467555
22,coex_BRB,26,19,-0.18724696356275317
23,coex_UTR,25,19,0.05931252549979593
24,coex_STM,38,24,0.030737125070741556
25,coex_HRA,28,26,-0.033814016172506456
26,coex_PRS,28,25,-0.11172161172161177
27,coex_ATA,26,22,-0.19537717601547389
28,coex_FIB,31,22,-0.16410256410256419
29,coex_BRC,33,28,-0.2510101010101009
30,coex_ATT,32,24,0.07233796296296324
31,coex_TNV,19,15,-0.5724206349206349
32,coex_SPL,35,27,0.03439153439153442
33,coex_LCL,26,15,0.15302197802197814
34,coex_CLS,35,29,-0.14311315924219148
35,coex_EMC,36,26,0.05099981985227875
36,coex_CLT,35,31,0.05094876660341563
37,coex_core,35,32,-0.06194852941176476
38,coex_WBL,32,26,-0.15608421750663126
39,co-essential,22,7,0.5987460815047023
40,GOBP,12,20,0.21769509981851165
41,ppi,50,49,0.21054421768707487
42,reactome_copathway,27,6,0.20500000000000007
43,MP,11,24,0.708333333333333
44,HP,39,43,0.262313655336911
45,GI_net,32,15,0.004055851063829774
46,gene_gene_on_CbG_name_mapped,19,9,-0.027986633249791115
47,gene_gene_on_GcG_name_mapped,35,33,-0.08931754519989799
48,GOMF,7,7,
