,Layer,Renal_tubular_acidosis nodes,Cerebral_edema nodes,sAB
0,coex_KDN,42,42,0.2142857142857142
1,coex_BST,30,33,-0.039932518371961434
2,coex_OVR,26,36,-0.04666390956713529
3,coex_LNG,34,40,-0.17390240919652644
4,coex_ITI,31,43,-0.14991585734271418
5,coex_VGN,29,36,0.07614087301587302
6,coex_HRV,15,25,-0.05833333333333357
7,coex_MSG,36,37,-0.10973816282035465
8,coex_ADV,29,36,-0.07118385665587468
9,coex_EMS,29,36,-0.09332449160035372
10,coex_SMU,28,35,0.035317460317460414
11,coex_ARG,28,35,-0.12738095238095237
12,coex_TST,33,38,-0.09463238762719861
13,coex_PIT,35,37,-0.04903474903474914
14,coex_LVR,31,39,-0.15221878224974184
15,coex_THY,27,35,-0.09523809523809534
16,coex_PNC,29,32,-0.31521163086489556
17,coex_ATC,29,38,-5.4175583064752786e-05
18,coex_BRO,25,38,0.000530560271647218
19,coex_SKN,31,38,0.05252525252525242
20,coex_ADS,20,34,0.12852443609022535
21,coex_GEJ,34,37,0.07736853367570751
22,coex_BRB,15,19,-0.2964912280701757
23,coex_UTR,25,29,-0.216500638569604
24,coex_STM,32,40,-0.07743055555555567
25,coex_HRA,33,36,0.08415032679738554
26,coex_PRS,29,36,-0.14972001178897743
27,coex_ATA,27,34,-0.051196410767696765
28,coex_FIB,28,33,0.04541019090199416
29,coex_BRC,33,38,-0.06443305100875518
30,coex_ATT,29,38,-0.17156655087689554
31,coex_TNV,11,23,-0.18320476858345014
32,coex_SPL,35,40,-0.04892857142857143
33,coex_LCL,25,32,-0.17230273752012892
34,coex_CLS,30,38,-0.003629020870399957
35,coex_EMC,29,36,-0.12772817460317487
36,coex_CLT,29,39,-0.22604930566391013
37,coex_core,38,41,-0.009615384615384581
38,coex_WBL,32,36,-0.027675653594771088
39,co-essential,17,20,-0.27488076311605725
40,GOBP,32,31,0.44565141824249155
41,ppi,49,50,0.01924345495774049
42,reactome_copathway,15,17,0.25274725274725274
43,MP,19,10,0.8333333333333339
44,HP,41,41,0.25609756097560976
45,GI_net,17,24,-0.16445480631276865
46,gene_gene_on_CbG_name_mapped,17,30,-0.1732165206508136
47,gene_gene_on_GcG_name_mapped,34,29,0.01997810618500262
48,GOMF,6,11,
