,Layer,Blepharitis nodes,Leukemia nodes,sAB
0,coex_KDN,39,46,-0.041238769755393756
1,coex_BST,34,35,-0.04322859578614047
2,coex_OVR,39,35,-0.04794574794574791
3,coex_LNG,39,40,0.18890782213567014
4,coex_ITI,36,42,-0.11813186813186816
5,coex_VGN,38,40,-0.07653311600680035
6,coex_HRV,15,16,0.019642857142857295
7,coex_MSG,43,41,-0.06466250709018717
8,coex_ADV,34,30,0.0730392156862747
9,coex_EMS,41,32,0.06076388888888884
10,coex_SMU,37,34,-0.059763989341454105
11,coex_ARG,35,31,-0.0912087912087911
12,coex_TST,42,45,0.19485495347564297
13,coex_PIT,37,37,0.2297297297297296
14,coex_LVR,38,38,0.05263157894736836
15,coex_THY,26,34,0.20819226750261244
16,coex_PNC,38,30,0.11351909184726505
17,coex_ATC,34,36,0.003166483984898383
18,coex_BRO,37,34,0.11044246400501567
19,coex_SKN,40,39,0.02645074224021582
20,coex_ADS,25,30,0.37000669833150646
21,coex_GEJ,41,37,0.02992028296906324
22,coex_BRB,19,22,0.2889193604854712
23,coex_UTR,33,34,-0.17891159177375116
24,coex_STM,36,42,0.04990842490842495
25,coex_HRA,31,35,0.23760647954196346
26,coex_PRS,40,36,-0.1514619883040933
27,coex_ATA,35,33,0.24071828358208958
28,coex_FIB,32,38,0.17281139835487647
29,coex_BRC,37,39,-0.09280701754385978
30,coex_ATT,37,35,-0.01575504075504064
31,coex_TNV,18,18,0.360906862745098
32,coex_SPL,37,39,0.17392128971076337
33,coex_LCL,32,35,0.037045686761056684
34,coex_CLS,39,40,0.13829925348912697
35,coex_EMC,39,36,0.1232478632478633
36,coex_CLT,38,41,-0.150816064551623
37,coex_core,42,42,0.15772497656129736
38,coex_WBL,36,37,0.31457484882142417
39,co-essential,15,22,0.5809523809523811
40,GOBP,15,8,0.6832706766917287
41,ppi,50,50,0.19000000000000017
42,reactome_copathway,29,32,0.4113973986159012
43,MP,9,12,0.6468253968253967
44,HP,48,31,0.33858340241318974
45,GI_net,31,36,0.10798611111111112
46,gene_gene_on_CbG_name_mapped,6,17,0.25426257459505575
47,gene_gene_on_GcG_name_mapped,32,35,0.12094216417910442
48,GOMF,6,3,
