,Layer,Huntington_disease nodes,Muscle_spasm nodes,sAB
0,coex_KDN,35,40,-0.2819047619047619
1,coex_BST,24,35,-0.2521303258145364
2,coex_OVR,23,35,-0.09811522810023554
3,coex_LNG,30,35,-0.1826007326007324
4,coex_ITI,38,40,-0.32042847503373806
5,coex_VGN,30,37,-0.3717224687373941
6,coex_HRV,18,12,-0.5453853955375259
7,coex_MSG,30,37,-0.13235175473981453
8,coex_ADV,21,35,-0.19508530685001269
9,coex_EMS,29,36,-0.28572796934865896
10,coex_SMU,24,37,-0.26111111111111107
11,coex_ARG,27,37,-0.18386243386243395
12,coex_TST,31,39,-0.19663239985820624
13,coex_PIT,32,42,-0.29403957528957525
14,coex_LVR,25,34,-0.35442021636240706
15,coex_THY,28,33,-0.22440952605147535
16,coex_PNC,25,35,-0.04809523809523819
17,coex_ATC,26,35,-0.2347619047619045
18,coex_BRO,33,38,-0.038528138528138633
19,coex_SKN,31,38,-0.1907064294677785
20,coex_ADS,25,28,-0.22850444525636338
21,coex_GEJ,28,35,-0.29206349206349214
22,coex_BRB,22,20,-0.536111111111111
23,coex_UTR,20,32,0.09773284313725483
24,coex_STM,32,38,-0.09330357142857149
25,coex_HRA,25,35,-0.3015133171912834
26,coex_PRS,23,34,0.21371275783040478
27,coex_ATA,24,32,-0.5074179292929295
28,coex_FIB,24,32,-0.21056547619047605
29,coex_BRC,30,33,-0.14574314574314573
30,coex_ATT,27,35,-0.11213517665130546
31,coex_TNV,20,16,-0.03676470588235281
32,coex_SPL,26,35,-0.2838137272563501
33,coex_LCL,19,27,-0.44233399978954013
34,coex_CLS,31,36,-0.01893939393939381
35,coex_EMC,27,36,-0.18452380952380953
36,coex_CLT,34,39,-0.2636946386946386
37,coex_core,32,39,-0.2493285030697001
38,coex_WBL,27,32,-0.039832470182046276
39,co-essential,7,11,-0.49783549783549796
40,GOBP,7,17,-0.4564393939393936
41,ppi,48,50,0.009098639455782154
42,reactome_copathway,15,9,0.003571428571429003
43,MP,11,13,0.3313492063492065
44,HP,29,42,-0.20459538842248892
45,GI_net,16,25,-0.27857142857142847
46,gene_gene_on_CbG_name_mapped,19,11,0.045135566188197584
47,gene_gene_on_GcG_name_mapped,37,30,-0.2059903186768859
48,GOMF,4,2,
