,Layer,Endometriosis nodes,Pleural_effusion nodes,sAB
0,coex_KDN,31,32,0.1108470942140296
1,coex_BST,19,29,0.02537593984962383
2,coex_OVR,18,24,-0.054011238641798354
3,coex_LNG,19,24,-0.13119645042839645
4,coex_ITI,26,30,0.010622710622710585
5,coex_VGN,18,24,0.06533955045432815
6,coex_HRV,17,15,-0.019852941176470296
7,coex_MSG,27,29,-0.112023353402664
8,coex_ADV,11,33,0.3333333333333335
9,coex_EMS,16,32,-0.07804054054054044
10,coex_SMU,11,20,-0.15689149560117333
11,coex_ARG,14,22,-0.2622549019607847
12,coex_TST,26,26,0.06692307692307708
13,coex_PIT,21,27,0.23796296296296315
14,coex_LVR,12,27,0.12037037037037068
15,coex_THY,20,20,-0.3676788124156545
16,coex_PNC,13,30,0.5172629695885509
17,coex_ATC,12,24,0.07638888888888884
18,coex_BRO,19,26,-0.112153110047847
19,coex_SKN,15,24,-0.0198717948717948
20,coex_ADS,17,32,1.1460705249841872
21,coex_GEJ,15,21,0.19551282051282026
22,coex_BRB,10,17,0.18942307692307692
23,coex_UTR,14,20,0.1970223325062035
24,coex_STM,23,26,0.013036652788205538
25,coex_HRA,10,23,-0.08405797101449286
26,coex_PRS,16,22,-0.2700799200799202
27,coex_ATA,12,33,-0.39449404761904727
28,coex_FIB,13,14,-0.27482702482702503
29,coex_BRC,15,22,0.0645372645372646
30,coex_ATT,13,31,-0.13314358001264992
31,coex_TNV,15,22,0.8405723905723907
32,coex_SPL,19,28,0.0026942355889727487
33,coex_LCL,8,15,-0.2626373626373626
34,coex_CLS,15,25,-0.2283333333333335
35,coex_EMC,18,25,0.018915989159891566
36,coex_CLT,19,26,-0.1462679425837321
37,coex_core,21,38,0.4743135011441644
38,coex_WBL,16,21,-0.13571428571428568
39,co-essential,4,8,-1.8030303030303023
40,GOBP,15,21,0.4903501516404738
41,ppi,50,48,0.24652210884353742
42,reactome_copathway,18,21,0.4761363636363638
43,MP,15,11,0.24239130434782608
44,HP,17,33,-0.0238859180035651
45,GI_net,15,18,-0.08640552995391704
46,gene_gene_on_CbG_name_mapped,15,7,0.31385281385281383
47,gene_gene_on_GcG_name_mapped,28,28,0.08928571428571397
48,GOMF,11,9,-0.08333333333333348
