,Layer,Gout nodes,Myalgia nodes,sAB
0,coex_KDN,36,38,-0.1086326052079476
1,coex_BST,26,29,-0.09701872201872197
2,coex_OVR,22,31,-0.20941459635921023
3,coex_LNG,31,36,0.2127668111057619
4,coex_ITI,32,37,0.0020502839796319172
5,coex_VGN,29,33,0.0756227458118448
6,coex_HRV,16,22,-0.19183612440191378
7,coex_MSG,38,41,0.020051672868494297
8,coex_ADV,28,31,-0.16223736624228646
9,coex_EMS,24,36,0.10020703933747432
10,coex_SMU,21,38,0.16658170850855925
11,coex_ARG,22,32,-0.13197115384615365
12,coex_TST,30,39,0.10250836120401341
13,coex_PIT,31,35,0.02195224130708029
14,coex_LVR,26,29,-0.11046539667229327
15,coex_THY,19,33,0.0759481424148607
16,coex_PNC,24,27,-0.008850762527233158
17,coex_ATC,27,39,-0.08846153846153815
18,coex_BRO,31,35,0.1772893772893771
19,coex_SKN,23,36,-0.0378387783509373
20,coex_ADS,25,28,-0.10290598290598307
21,coex_GEJ,26,33,-0.09292108753315675
22,coex_BRB,16,22,0.014679858429858417
23,coex_UTR,21,33,-0.1878472222222225
24,coex_STM,27,36,-0.16053934118450242
25,coex_HRA,27,35,-0.09179040791944049
26,coex_PRS,26,37,0.019389712292937844
27,coex_ATA,24,30,-0.06449251789199728
28,coex_FIB,25,30,0.026851851851851904
29,coex_BRC,26,32,-0.09299769274302339
30,coex_ATT,23,34,0.2408479201957463
31,coex_TNV,18,14,-0.09767025089605763
32,coex_SPL,26,34,0.09939668174962302
33,coex_LCL,17,24,-0.13541666666666652
34,coex_CLS,28,34,0.21708892200695473
35,coex_EMC,29,38,-0.048500690738684016
36,coex_CLT,26,36,0.05995178399228562
37,coex_core,32,39,-0.11059907834101379
38,coex_WBL,26,35,-0.1193815987933633
39,co-essential,9,10,0.36309523809523814
40,GOBP,19,18,-0.05606060606060659
41,ppi,48,50,-0.1758843537414967
42,reactome_copathway,13,18,-0.2944444444444445
43,MP,15,13,0.10943223443223449
44,HP,22,49,0.278005696516763
45,GI_net,21,23,0.029545454545454763
46,gene_gene_on_CbG_name_mapped,10,7,-0.1705882352941177
47,gene_gene_on_GcG_name_mapped,26,24,0.06192307692307697
48,GOMF,5,4,
