,Layer,Renovascular_hypertension nodes,Vasculitis nodes,sAB
0,coex_KDN,43,36,0.0687575638635396
1,coex_BST,24,22,0.0811931243680486
2,coex_OVR,26,25,0.14000000000000012
3,coex_LNG,29,33,-0.18156537566993602
4,coex_ITI,34,32,0.10736965240641716
5,coex_VGN,30,26,9.157509157509125e-05
6,coex_HRV,19,19,-0.21365483130189
7,coex_MSG,38,31,0.13131443616052763
8,coex_ADV,22,28,-0.01292207792207778
9,coex_EMS,24,25,-0.07841836734693874
10,coex_SMU,26,23,-0.15517712101563053
11,coex_ARG,26,24,-0.10047619047619039
12,coex_TST,28,28,-0.125
13,coex_PIT,32,28,0.15580357142857149
14,coex_LVR,30,33,-0.07053058292282444
15,coex_THY,24,29,0.3296193884189984
16,coex_PNC,26,22,0.05885780885780889
17,coex_ATC,27,34,-0.056644880174292034
18,coex_BRO,28,30,0.02729885057471293
19,coex_SKN,28,27,0.035389610389610526
20,coex_ADS,23,29,-0.10123376623376634
21,coex_GEJ,19,27,0.3296296296296295
22,coex_BRB,24,22,-0.020537601932950844
23,coex_UTR,19,18,-0.028637770897832482
24,coex_STM,28,28,0.03571428571428581
25,coex_HRA,22,21,-0.0013356562137047945
26,coex_PRS,24,23,0.04370952821461627
27,coex_ATA,23,27,-0.14490139490139464
28,coex_FIB,20,19,-0.026315789473684514
29,coex_BRC,29,20,-0.12989092188599582
30,coex_ATT,27,28,0.08716931216931201
31,coex_TNV,18,16,0.15805073063137565
32,coex_SPL,28,38,0.06550467076782862
33,coex_LCL,20,18,-0.11455108359133126
34,coex_CLS,27,28,0.017159692159692153
35,coex_EMC,29,30,0.2068965517241379
36,coex_CLT,33,32,0.255194805194805
37,coex_core,34,35,0.14912721686915242
38,coex_WBL,22,33,0.0856180856180857
39,co-essential,7,4,-3.925
40,GOBP,9,17,0.5656565656565657
41,ppi,50,50,0.14000000000000012
42,reactome_copathway,17,23,-0.396681749622926
43,MP,8,15,0.4103896103896103
44,HP,30,43,0.18383774025698219
45,GI_net,17,21,0.026456766917293262
46,gene_gene_on_CbG_name_mapped,22,12,0.11742424242424243
47,gene_gene_on_GcG_name_mapped,39,32,-0.12729098952690499
48,GOMF,1,4,
