,Layer,Urinary_bladder_inflammation nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,35,40,-0.03321428571428564
1,coex_BST,18,23,-0.18359810479375716
2,coex_OVR,25,23,-0.036195652173913295
3,coex_LNG,27,30,0.1939393939393943
4,coex_ITI,33,40,-0.021180987961809672
5,coex_VGN,26,29,0.4879069206655413
6,coex_HRV,17,19,0.08026960784313708
7,coex_MSG,27,31,-0.019688109161793532
8,coex_ADV,21,25,0.06549971767363072
9,coex_EMS,21,23,0.12723508375682302
10,coex_SMU,19,23,-0.002451781627982985
11,coex_ARG,24,19,0.1217615259077931
12,coex_TST,26,32,0.15218832891246703
13,coex_PIT,30,26,0.07175925925925952
14,coex_LVR,24,26,-0.04583304893863893
15,coex_THY,22,31,0.03164942178940944
16,coex_PNC,22,27,-0.23826702398131028
17,coex_ATC,29,24,0.26791803677992965
18,coex_BRO,31,25,0.08000000000000007
19,coex_SKN,26,25,0.06846153846153813
20,coex_ADS,23,21,0.25113258834189045
21,coex_GEJ,19,25,0.13779012749264474
22,coex_BRB,22,21,0.3039112050739958
23,coex_UTR,18,21,-0.1663046975546978
24,coex_STM,25,32,0.03316885964912286
25,coex_HRA,19,23,-0.11087501362100927
26,coex_PRS,19,27,0.14502923976608217
27,coex_ATA,27,18,0.18181818181818166
28,coex_FIB,16,24,-0.13333333333333308
29,coex_BRC,24,25,-0.19478492136910264
30,coex_ATT,22,24,0.24562394127611542
31,coex_TNV,17,17,-0.03125
32,coex_SPL,27,32,-0.1463041431261769
33,coex_LCL,15,20,0.1206398348813209
34,coex_CLS,24,34,-0.10655901116427424
35,coex_EMC,24,32,-0.2159628071269024
36,coex_CLT,31,38,0.12777578337350626
37,coex_core,29,37,0.14532019704433496
38,coex_WBL,24,30,0.12432227282585107
39,co-essential,10,4,-0.26428571428571423
40,GOBP,5,23,-0.44762845849802346
41,ppi,50,50,0.050000000000000044
42,reactome_copathway,26,22,0.4285714285714286
43,MP,7,17,0.8662464985994398
44,HP,25,35,0.3728571428571428
45,GI_net,22,25,0.08987703118137902
46,gene_gene_on_CbG_name_mapped,19,10,0.05508166969146999
47,gene_gene_on_GcG_name_mapped,31,32,-0.033210125448028815
48,GOMF,3,8,
