,Layer,Pityriasis_rubra_pilaris nodes,Fatigue nodes,sAB
0,coex_KDN,36,19,-0.1587985114300905
1,coex_BST,28,11,-0.02445507708665584
2,coex_OVR,28,13,0.11967300991691276
3,coex_LNG,30,18,0.09434710054234463
4,coex_ITI,29,16,-0.0859195402298849
5,coex_VGN,30,15,0.1611111111111112
6,coex_HRV,17,10,0.002513826043237799
7,coex_MSG,36,16,0.19017094017094016
8,coex_ADV,27,15,-0.2809157509157507
9,coex_EMS,28,15,0.02480620155038782
10,coex_SMU,23,13,-0.14808621330360472
11,coex_ARG,25,14,-0.061648351648351696
12,coex_TST,31,16,-0.07376029512697335
13,coex_PIT,32,17,-0.007596788715486191
14,coex_LVR,30,21,-0.10000000000000009
15,coex_THY,26,18,-0.01631701631701654
16,coex_PNC,28,13,-0.014305816135084637
17,coex_ATC,29,16,-0.0498563218390804
18,coex_BRO,31,14,-0.00952380952380949
19,coex_SKN,30,16,0.3055555555555558
20,coex_ADS,31,12,0.24193548387096797
21,coex_GEJ,31,14,-0.0821428571428573
22,coex_BRB,28,11,-0.33402255639097733
23,coex_UTR,25,11,0.007305194805194759
24,coex_STM,29,15,-0.10548589341692804
25,coex_HRA,24,14,0.11356516290726804
26,coex_PRS,28,12,0.0821428571428573
27,coex_ATA,27,15,-0.28465608465608483
28,coex_FIB,22,12,-0.4512032085561497
29,coex_BRC,28,13,0.11428571428571432
30,coex_ATT,27,16,-0.15608465608465627
31,coex_TNV,21,9,0.8641762452107282
32,coex_SPL,27,18,-0.07222222222222197
33,coex_LCL,18,11,-0.029738562091503384
34,coex_CLS,32,16,0.1843306737588657
35,coex_EMC,26,17,0.10699252867515519
36,coex_CLT,31,15,-0.036154649947753636
37,coex_core,35,16,0.012878787878787934
38,coex_WBL,28,18,0.05512422360248426
39,co-essential,9,7,-1.6559523809523813
40,GOBP,19,19,0.09432603686635943
41,ppi,50,43,0.05218804701175306
42,reactome_copathway,25,30,0.43692911947387625
43,MP,15,15,-0.378703703703704
44,HP,23,41,0.28144883351007444
45,GI_net,20,19,-0.17396616541353405
46,gene_gene_on_CbG_name_mapped,12,12,-0.08333333333333326
47,gene_gene_on_GcG_name_mapped,32,22,-0.023253367003366776
48,GOMF,7,10,0.5119047619047619
