,Layer,Bronchiectasis nodes,Dermatographic_urticaria nodes,sAB
0,coex_KDN,36,32,-0.019974054458888224
1,coex_BST,21,17,0.34285714285714297
2,coex_OVR,18,24,0.22718253968253954
3,coex_LNG,38,25,0.40583124477861343
4,coex_ITI,26,28,-0.08725071225071224
5,coex_VGN,21,25,-0.15532091097308487
6,coex_HRV,12,15,0.048961038961039094
7,coex_MSG,26,29,0.026235833132384867
8,coex_ADV,16,22,0.44444444444444464
9,coex_EMS,16,21,0.018701737451737532
10,coex_SMU,17,19,-0.20261437908496727
11,coex_ARG,14,19,-0.1507936507936507
12,coex_TST,35,22,0.2543517885623148
13,coex_PIT,31,23,0.158796945613215
14,coex_LVR,19,23,0.16574279379157453
15,coex_THY,29,24,0.05518054651919302
16,coex_PNC,22,18,-0.2716727716727716
17,coex_ATC,23,25,-0.11008325624421822
18,coex_BRO,32,26,0.4939074933687002
19,coex_SKN,19,28,-0.03518518518518521
20,coex_ADS,18,23,0.009590792838874762
21,coex_GEJ,23,21,0.18511122345803832
22,coex_BRB,29,20,0.1845238095238093
23,coex_UTR,13,16,-0.14204314204314183
24,coex_STM,27,28,0.0737133237133234
25,coex_HRA,17,19,0.3518796992481201
26,coex_PRS,22,21,0.37148897614013876
27,coex_ATA,19,21,-0.11630036630036678
28,coex_FIB,16,18,0.07434640522875835
29,coex_BRC,22,18,0.11164815576580311
30,coex_ATT,20,21,-0.1499999999999999
31,coex_TNV,10,14,0.8285714285714287
32,coex_SPL,23,29,-0.01585745588744114
33,coex_LCL,23,16,0.10134158926728576
34,coex_CLS,25,23,0.10935817805383041
35,coex_EMC,28,25,0.02736928104575176
36,coex_CLT,29,28,0.053873908910206714
37,coex_core,32,32,0.21740315970386037
38,coex_WBL,28,27,-0.0370370370370372
39,co-essential,6,8,-0.5089285714285716
40,GOBP,29,22,1.7851961867919313
41,ppi,47,50,0.06389559113840759
42,reactome_copathway,16,19,0.1297562087035773
43,MP,15,13,1.1488095238095237
44,HP,47,41,0.731046846251828
45,GI_net,22,23,-0.25375012584314915
46,gene_gene_on_CbG_name_mapped,11,15,0.3386946386946388
47,gene_gene_on_GcG_name_mapped,29,29,-0.06896551724137945
48,GOMF,6,8,0.0
